split,feature,changed_rows_exact,changed_rows_tolerance_1e-12,changed_counties,nan_status_changed_rows,min,max,mean
train,pct_unmapped,34416,34416,239,0,1.89,18.32,6.568661087866108
train,pct_forest_classified,34416,34416,239,0,0.9886861685862807,95.81507449605608,44.00987094085114
train,window_len_next_1h,34416,34416,239,0,1.0,2.0,1.9930555555555556
train,is_full_next_1h,34416,34416,239,0,0.0,1.0,0.9930555555555556
train,tp_rate_next_1h,34416,34416,239,0,0.0,7.35,0.11956212226871221
train,gust_gt30_frac_next_1h,34416,34416,239,0,0.0,1.0,0.15975127847512785
train,has_weather_at_t1h,34416,34416,239,0,0.0,1.0,0.9930555555555556
train,window_len_next_6h,34416,34416,239,0,1.0,7.0,6.854166666666667
train,is_full_next_6h,34416,34416,239,0,0.0,1.0,0.9583333333333334
train,tp_rate_next_6h,34416,34416,239,0,0.0,3.814285714285714,0.1195669857319962
train,gust_gt30_frac_next_6h,34416,34416,239,0,0.0,1.0,0.1557871754001461
train,has_weather_at_t6h,34416,34416,239,0,0.0,1.0,0.9583333333333334
train,window_len_next_24h,34416,34416,239,0,1.0,25.0,22.916666666666668
train,is_full_next_24h,34416,34416,239,0,0.0,1.0,0.8333333333333334
train,tp_rate_next_24h,34416,34416,239,0,0.0,2.048,0.1197446607542979
train,gust_gt30_frac_next_24h,34416,34416,239,0,0.0,1.0,0.1491817759181776
train,has_weather_at_t24h,34416,34416,239,0,0.0,1.0,0.8333333333333334
train,window_len_next_48h,34416,34416,239,0,1.0,49.0,40.833333333333336
train,is_full_next_48h,34416,34416,239,0,0.0,1.0,0.6666666666666666
train,tp_rate_next_48h,34416,34416,239,0,0.0,1.079591836734694,0.11913376202676136
train,gust_gt30_frac_next_48h,34416,34416,239,0,0.0,0.8571428571428571,0.13737850587418526
train,has_weather_at_t48h,34416,34416,239,0,0.0,1.0,0.6666666666666666
test,pct_unmapped,9072,9072,63,0,1.17,23.65,7.001746031746031
test,pct_forest_classified,9072,9072,63,0,0.576747951027016,94.98083373263057,41.27462453272249
test,window_len_next_1h,9072,9072,63,0,1.0,2.0,1.9930555555555556
test,is_full_next_1h,9072,9072,63,0,0.0,1.0,0.9930555555555556
test,tp_rate_next_1h,9072,9072,63,0,0.0,6.15,0.11593915343915344
test,gust_gt30_frac_next_1h,9072,9072,63,0,0.0,1.0,0.1531084656084656
test,has_weather_at_t1h,9072,9072,63,0,0.0,1.0,0.9930555555555556
test,window_len_next_6h,9072,9072,63,0,1.0,7.0,6.854166666666667
test,is_full_next_6h,9072,9072,63,0,0.0,1.0,0.9583333333333334
test,tp_rate_next_6h,9072,9072,63,0,0.0,3.085714285714286,0.11593883849836231
test,gust_gt30_frac_next_6h,9072,9072,63,0,0.0,1.0,0.14973859914336107
test,has_weather_at_t6h,9072,9072,63,0,0.0,1.0,0.9583333333333334
test,window_len_next_24h,9072,9072,63,0,1.0,25.0,22.916666666666668
test,is_full_next_24h,9072,9072,63,0,0.0,1.0,0.8333333333333334
test,tp_rate_next_24h,9072,9072,63,0,0.0,1.232,0.11603579769025275
test,gust_gt30_frac_next_24h,9072,9072,63,0,0.0,0.96,0.14264991181657846
test,has_weather_at_t24h,9072,9072,63,0,0.0,1.0,0.8333333333333334
test,window_len_next_48h,9072,9072,63,0,1.0,49.0,40.833333333333336
test,is_full_next_48h,9072,9072,63,0,0.0,1.0,0.6666666666666666
test,tp_rate_next_48h,9072,9072,63,0,0.0,0.6408163265306123,0.11553655373787648
test,gust_gt30_frac_next_48h,9072,9072,63,0,0.0,0.7755102040816326,0.13140454594536227
test,has_weather_at_t48h,9072,9072,63,0,0.0,1.0,0.6666666666666666
