role,target,fold,historical_path,actual_path,historical_sha256,current_sha256,historical_hash_matches,line_ending_conversion_matches_historical_hash,features,rounds,predicted_rows
cv,osi_target_t01h,0,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold0.txt,14af35ffd8ead509b94e3aa0f98853fa297b11bd4b5f0cdaa07462d18527ad2c,4810a2c5aa3847e7b27fc18053832272002a5cb555e5d02de69ff5750431449f,False,False,163,118,6864
cv,osi_target_t01h,1,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold1.txt,3a1951aa52ad6555afb74c3106229d5cbc6bd3f958d0e0d47cd65d85e1f97606,0ed86ed05dcaa71288fb7d0dcafe943f315bf068065bd7c8acc29d2ec9b6ecbc,False,False,163,257,6721
cv,osi_target_t01h,2,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold2.txt,31b0e97d41c725ce8ee57311633eb136f645fee722ca39f5b3a375d8c672b8ff,f636f2e092cf026332c94e4da015b6662e04603707c7862484276f01529dc177,False,False,163,211,6864
cv,osi_target_t01h,3,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold3.txt,932eab1bf1af54cf3017067c29c0a96526df045c0c30d69cb150ee61ed63efe1,8f84785d32bc7ca7f71d091c2ceef35ab3b402c06ed00fe1766139e6872cdd45,False,False,163,279,6864
cv,osi_target_t01h,4,versions/v1.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t01h_v1.8_balanced_v1_fold4.txt,358e28ca3e5a20ab7616c59b79667f4c2559037774c3397707a3f599eeda7b78,6aaba339dd7ae78d20b24d0179f5a474331ec031a2831e33b910525a3c986f54,False,False,163,166,6864
final,osi_target_t01h,-1,versions/v1.8/models/final/lgbm_osi_t01h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_osi_t01h_v1.8_balanced_v1_final.txt,97f2573557318fd6b2307e4dc96abaeb8d943c37999ad20173efcbab3eba0c5a,bc68ef9d96ff2370c89104f8d15cb749bd9b11da839053e1770637b0403d0e58,False,False,163,206,9072
cv,osi_target_t06h,0,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold0.txt,b758541cf4b95005a11c227b61c5bbf6b639771fcd3131d96bdce5e14774d91f,fe1b9314c42e5988e112cee247375e57e09260837607e8ff6588ed3a696b77a7,False,False,163,175,6624
cv,osi_target_t06h,1,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold1.txt,13905f97958a156771e27379ec9f13ae935aae20af3f088ecc02220bedbfea36,239a2a64f732631af8dddb9563e20f33900183e8eefccb24b25f78684782d6da,False,False,163,35,6486
cv,osi_target_t06h,2,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold2.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold2.txt,164d784d825444e75fae905b2eec46ef7dd79515b3a0275fcdb03c23ee5f8593,bc339cdf491deb1e31ac91b16489de6778c5f806b69c55e3a548c65cd19ba737,False,False,163,565,6624
cv,osi_target_t06h,3,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold3.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold3.txt,de8b6d0715795f18d1b32e0e15bc98c26be11e811e9e6b48db33cd2afcdc8b6c,e26510689f14b13a7308624467d0f449c47f7aec49026d15d899d12abefad189,False,False,163,216,6624
cv,osi_target_t06h,4,versions/v1.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold4.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t06h_v1.8_balanced_v1_fold4.txt,9c9a970917e48734662106d734e559c74182e7d73ef779ab730176696845ca3e,3d8443b95c2402a908bc08e84d2753029206f1c282f1e9b45be7384dd3881596,False,False,163,383,6624
final,osi_target_t06h,-1,versions/v1.8/models/final/lgbm_osi_t06h_v1.8_balanced_v1_final.txt,versions/xyy/v1.5.8/models/final/lgbm_osi_t06h_v1.8_balanced_v1_final.txt,71b16eb33312fad78d93e86dd3c232da54c7b3e0637989d4d104ed1283295aea,8ee45e5a6f04eca3017759011f8836c9bb50e4e2a8f682d906ff59d5be3655ad,False,False,163,274,9072
cv,osi_target_t24h,0,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold0.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold0.txt,b5c336ee739b03639a9a9fca0b0798bf4e6cc3f7ce965606c1a106272adb6646,959b8fb203de59b77742af84436e43fac8b52d0310208093967765f87e542aa6,False,False,163,152,5760
cv,osi_target_t24h,1,versions/v1.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold1.txt,versions/xyy/v1.5.8/models/cv/lgbm_osi_t24h_v1.8_balanced_v1_fold1.txt,b80f01539e46745fd3ba15dbfb8749687ea8a54a0e628d1167ca8d4746dd1c12,153a5da58f3feec3a874ace720d52446f2e65b74b2752491f227481905b1948c,False,False,163,13,5640
