seed,stateAbbr,severity_tier,fold,county_count
42,IN,0,0,3
42,IN,1,0,2
42,IN,2,0,3
42,IN,3,0,3
42,IN,4,0,3
42,OH,0,0,3
42,OH,1,0,3
42,OH,2,0,3
42,OH,3,0,2
42,OH,4,0,3
42,PA,0,0,3
42,PA,1,0,2
42,PA,2,0,2
42,PA,3,0,2
42,PA,4,0,2
42,WV,0,0,2
42,WV,1,0,2
42,WV,2,0,2
42,WV,3,0,1
42,WV,4,0,2
42,IN,0,1,3
42,IN,1,1,3
42,IN,2,1,2
42,IN,3,1,3
42,IN,4,1,3
42,OH,0,1,3
42,OH,1,1,3
42,OH,2,1,3
42,OH,3,1,3
42,OH,4,1,3
42,PA,0,1,2
42,PA,1,1,2
42,PA,2,1,2
42,PA,3,1,2
42,PA,4,1,2
42,WV,0,1,2
42,WV,1,1,2
42,WV,2,1,1
42,WV,3,1,2
42,WV,4,1,1
42,IN,0,2,3
42,IN,1,2,3
42,IN,2,2,3
42,IN,3,2,2
42,IN,4,2,3
42,OH,0,2,3
42,OH,1,2,3
42,OH,2,2,3
42,OH,3,2,3
42,OH,4,2,3
42,PA,0,2,2
42,PA,1,2,2
42,PA,2,2,2
42,PA,3,2,2
42,PA,4,2,2
42,WV,0,2,2
42,WV,1,2,1
42,WV,2,2,2
42,WV,3,2,2
42,WV,4,2,2
42,IN,0,3,3
42,IN,1,3,3
42,IN,2,3,3
42,IN,3,3,3
42,IN,4,3,3
42,OH,0,3,3
42,OH,1,3,2
42,OH,2,3,2
42,OH,3,3,3
42,OH,4,3,3
42,PA,0,3,2
42,PA,1,3,2
42,PA,2,3,2
42,PA,3,3,2
42,PA,4,3,3
42,WV,0,3,1
42,WV,1,3,2
42,WV,2,3,2
42,WV,3,3,2
42,WV,4,3,2
42,IN,0,4,3
42,IN,1,4,3
42,IN,2,4,3
42,IN,3,4,3
42,IN,4,4,3
42,OH,0,4,2
42,OH,1,4,3
42,OH,2,4,3
42,OH,3,4,3
42,OH,4,4,2
42,PA,0,4,2
42,PA,1,4,2
42,PA,2,4,2
42,PA,3,4,2
42,PA,4,4,2
42,WV,0,4,2
42,WV,1,4,2
42,WV,2,4,2
42,WV,3,4,2
42,WV,4,4,2
20260917,IN,0,0,3
20260917,IN,1,0,3
20260917,IN,2,0,2
20260917,IN,3,0,3
20260917,IN,4,0,3
20260917,OH,0,0,3
20260917,OH,1,0,3
20260917,OH,2,0,3
20260917,OH,3,0,3
20260917,OH,4,0,3
20260917,PA,0,0,2
20260917,PA,1,0,2
20260917,PA,2,0,2
20260917,PA,3,0,2
20260917,PA,4,0,2
20260917,WV,0,0,1
20260917,WV,1,0,2
20260917,WV,2,0,2
20260917,WV,3,0,2
20260917,WV,4,0,2
20260917,IN,0,1,3
20260917,IN,1,1,3
20260917,IN,2,1,3
20260917,IN,3,1,2
20260917,IN,4,1,3
20260917,OH,0,1,3
20260917,OH,1,1,3
20260917,OH,2,1,3
20260917,OH,3,1,2
20260917,OH,4,1,3
20260917,PA,0,1,3
20260917,PA,1,1,2
20260917,PA,2,1,2
20260917,PA,3,1,2
20260917,PA,4,1,2
20260917,WV,0,1,2
20260917,WV,1,1,2
20260917,WV,2,1,1
20260917,WV,3,1,2
20260917,WV,4,1,2
20260917,IN,0,2,3
20260917,IN,1,2,2
20260917,IN,2,2,3
20260917,IN,3,2,3
20260917,IN,4,2,3
20260917,OH,0,2,3
20260917,OH,1,2,3
20260917,OH,2,2,3
20260917,OH,3,2,3
20260917,OH,4,2,2
20260917,PA,0,2,2
20260917,PA,1,2,2
20260917,PA,2,2,2
20260917,PA,3,2,2
20260917,PA,4,2,2
