split,fipsCode,rows,columns,frozen_equal_at_tolerance,nan_mask_equal,max_abs_difference,mismatching_cells,future_nan,future_large_constant,weather_positive_control_changes_features
test,18001,144,163,True,True,0.0,0,True,True,
test,18003,144,163,True,True,0.0,0,True,True,
test,18005,144,163,True,True,8.881784197001252e-16,0,True,True,
test,18007,144,163,True,True,2.220446049250313e-15,0,True,True,
test,18011,144,163,True,True,0.0,0,True,True,
test,18015,144,163,True,True,0.0,0,True,True,
test,18017,144,163,True,True,0.0,0,True,True,
test,18019,144,163,True,True,0.0,0,True,True,
test,18021,144,163,True,True,0.0,0,True,True,
test,18031,144,163,True,True,0.0,0,True,True,
test,18049,144,163,True,True,0.0,0,True,True,
test,18053,144,163,True,True,3.1086244689504387e-15,0,True,True,
test,18055,144,163,True,True,1.7763568394002505e-15,0,True,True,
test,18057,144,163,True,True,1.3322676295501878e-15,0,True,True,
test,18063,144,163,True,True,0.0,0,True,True,
test,18075,144,163,True,True,2.664535259100376e-15,0,True,True,
test,18079,144,163,True,True,2.220446049250313e-15,0,True,True,
test,18081,144,163,True,True,8.881784197001252e-16,0,True,True,
test,18115,144,163,True,True,7.105427357601002e-15,0,True,True,
test,18119,144,163,True,True,3.996802888650564e-15,0,True,True,
test,39001,144,163,True,True,5.551115123125784e-16,0,True,True,
test,39003,144,163,True,True,3.774758283725532e-15,0,True,True,
test,39005,144,163,True,True,0.0,0,True,True,
test,39007,144,163,True,True,2.55351295663786e-15,0,True,True,
test,39009,144,163,True,True,2.664535259100376e-15,0,True,True,
test,39011,144,163,True,True,0.0,0,True,True,
test,39013,144,163,True,True,1.3322676295501878e-15,0,True,True,
test,39015,144,163,True,True,1.2212453270876722e-15,0,True,True,
test,39019,144,163,True,True,2.220446049250313e-15,0,True,True,
test,39021,144,163,True,True,0.0,0,True,True,
test,39041,144,163,True,True,3.996802888650564e-15,0,True,True,
test,39043,144,163,True,True,0.0,0,True,True,
test,39047,144,163,True,True,0.0,0,True,True,
test,39057,144,163,True,True,2.4424906541753444e-15,0,True,True,
test,39067,144,163,True,True,0.0,0,True,True,
test,39071,144,163,True,True,5.684341886080803e-14,0,True,True,
test,39079,144,163,True,True,1.4432899320127037e-15,0,True,True,
test,39083,144,163,True,True,0.0,0,True,True,
test,42001,144,163,True,True,1.9984014443252818e-15,0,True,True,
test,42003,144,163,True,True,6.217248937900877e-15,0,True,True,
test,42011,144,163,True,True,0.0,0,True,True,
test,42017,144,163,True,True,0.0,0,True,True,
test,42037,144,163,True,True,5.3290705182007506e-15,0,True,True,
test,42071,144,163,True,True,0.0,0,True,True,
test,42073,144,163,True,True,1.5543122344752194e-15,0,True,True,
test,42087,144,163,True,True,0.0,0,True,True,
test,42093,144,163,True,True,2.664535259100376e-15,0,True,True,
test,42099,144,163,True,True,3.774758283725532e-15,0,True,True,
test,42105,144,163,True,True,0.0,0,True,True,
test,42107,144,163,True,True,0.0,0,True,True,
test,42111,144,163,True,True,2.664535259100376e-15,0,True,True,
test,42117,144,163,True,True,0.0,0,True,True,
test,42123,144,163,True,True,0.0,0,True,True,
test,54001,144,163,True,True,1.3322676295501878e-15,0,True,True,
test,54003,144,163,True,True,0.0,0,True,True,
test,54005,144,163,True,True,1.4210854715202004e-14,0,True,True,
test,54011,144,163,True,True,0.0,0,True,True,
test,54017,144,163,True,True,1.9984014443252818e-15,0,True,True,
test,54021,144,163,True,True,0.0,0,True,True,
test,54049,144,163,True,True,3.996802888650564e-15,0,True,True,
test,54051,144,163,True,True,0.0,0,True,True,
test,54061,144,163,True,True,3.552713678800501e-15,0,True,True,
test,54065,144,163,True,True,8.881784197001252e-16,0,True,True,
train,18009,144,163,True,True,8.673617379884035e-19,0,True,True,True
train,18013,144,163,True,True,0.0,0,True,True,True
train,18023,144,163,True,True,4.440892098500626e-16,0,True,True,True
train,18025,144,163,True,True,1.1102230246251563e-15,0,True,True,True
train,18027,144,163,True,True,0.0,0,True,True,
train,18029,144,163,True,True,2.1094237467877974e-15,0,True,True,
train,18033,144,163,True,True,1.7763568394002505e-15,0,True,True,
train,18035,144,163,True,True,8.881784197001252e-16,0,True,True,
train,18037,144,163,True,True,0.0,0,True,True,
train,18039,144,163,True,True,0.0,0,True,True,
train,18041,144,163,True,True,4.336808689942019e-19,0,True,True,
train,18043,144,163,True,True,4.440892098500626e-16,0,True,True,
train,18045,144,163,True,True,4.440892098500626e-16,0,True,True,
train,18047,144,163,True,True,5.684341886080803e-14,0,True,True,
train,18051,144,163,True,True,0.0,0,True,True,
train,18059,144,163,True,True,0.0,0,True,True,
train,18061,144,163,True,True,7.105427357601002e-15,0,True,True,
train,18065,144,163,True,True,3.552713678800501e-15,0,True,True,
train,18067,144,163,True,True,4.440892098500626e-16,0,True,True,
train,18069,144,163,True,True,8.881784197001252e-16,0,True,True,
train,18071,144,163,True,True,1.3322676295501878e-15,0,True,True,
train,18073,144,163,True,True,4.336808689942019e-19,0,True,True,
train,18077,144,163,True,True,1.9984014443252818e-15,0,True,True,
train,18083,144,163,True,True,8.881784197001252e-16,0,True,True,
train,18085,144,163,True,True,1.1102230246251563e-15,0,True,True,
train,18087,144,163,True,True,1.7763568394002505e-15,0,True,True,
train,18089,144,163,True,True,3.2526065174565133e-18,0,True,True,
