split_seed,horizon,fold,validation_counties,valid_rows,validation_max_osi,validation_rows_gt015,validation_counties_gt015,training_max_osi,training_rows_gt015
42,osi_target_t01h,0,48,6864,0.2697,44,3,0.5447,149
42,osi_target_t01h,1,47,6721,0.191,26,4,0.5447,167
42,osi_target_t01h,2,48,6864,0.3277,57,6,0.5447,136
42,osi_target_t01h,3,48,6864,0.5447,35,3,0.5087,158
42,osi_target_t01h,4,48,6864,0.5087,31,2,0.5447,162
42,osi_target_t06h,0,48,6624,0.2689,29,3,0.4704,103
42,osi_target_t06h,1,47,6486,0.1758,9,3,0.4704,123
42,osi_target_t06h,2,48,6624,0.3277,47,6,0.4704,85
42,osi_target_t06h,3,48,6624,0.4704,26,3,0.4088,106
42,osi_target_t06h,4,48,6624,0.4088,21,2,0.4704,111
42,osi_target_t24h,0,48,5760,0.1423,0,0,0.3277,26
42,osi_target_t24h,1,47,5640,0.1379,0,0,0.3277,26
42,osi_target_t24h,2,48,5760,0.3277,26,4,0.1423,0
42,osi_target_t24h,3,48,5760,0.1398,0,0,0.3277,26
42,osi_target_t24h,4,48,5760,0.1347,0,0,0.3277,26
42,osi_target_t48h,0,48,4608,0.0846,0,0,0.3277,25
42,osi_target_t48h,1,47,4512,0.0901,0,0,0.3277,25
42,osi_target_t48h,2,48,4608,0.3277,25,3,0.1199,0
42,osi_target_t48h,3,48,4608,0.0712,0,0,0.3277,25
42,osi_target_t48h,4,48,4608,0.1199,0,0,0.3277,25
20260917,osi_target_t01h,0,48,6864,0.3293,31,3,0.5447,162
20260917,osi_target_t01h,1,48,6864,0.2697,30,3,0.5447,163
20260917,osi_target_t01h,2,48,6864,0.2711,43,4,0.5447,150
20260917,osi_target_t01h,3,47,6721,0.5447,35,3,0.5087,158
20260917,osi_target_t01h,4,48,6864,0.5087,54,5,0.5447,139
20260917,osi_target_t06h,0,48,6624,0.3277,21,3,0.4704,111
20260917,osi_target_t06h,1,48,6624,0.2689,20,3,0.4704,112
20260917,osi_target_t06h,2,48,6624,0.2651,28,4,0.4704,104
20260917,osi_target_t06h,3,47,6486,0.4704,21,3,0.4088,111
20260917,osi_target_t06h,4,48,6624,0.4088,42,4,0.4704,90
20260917,osi_target_t24h,0,48,5760,0.3277,2,1,0.191,24
20260917,osi_target_t24h,1,48,5760,0.1505,1,1,0.3277,25
20260917,osi_target_t24h,2,48,5760,0.1293,0,0,0.3277,26
20260917,osi_target_t24h,3,47,5640,0.0853,0,0,0.3277,26
20260917,osi_target_t24h,4,48,5760,0.191,23,2,0.3277,3
20260917,osi_target_t48h,0,48,4608,0.3277,2,1,0.191,23
20260917,osi_target_t48h,1,48,4608,0.0712,0,0,0.3277,25
20260917,osi_target_t48h,2,48,4608,0.1147,0,0,0.3277,25
20260917,osi_target_t48h,3,47,4512,0.075,0,0,0.3277,25
20260917,osi_target_t48h,4,48,4608,0.191,23,2,0.3277,2
20260918,osi_target_t01h,0,48,6864,0.191,19,2,0.5447,174
20260918,osi_target_t01h,1,47,6721,0.5087,32,3,0.5447,161
20260918,osi_target_t01h,2,48,6864,0.5447,57,5,0.5087,136
20260918,osi_target_t01h,3,48,6864,0.1817,30,4,0.5447,163
20260918,osi_target_t01h,4,48,6864,0.2711,55,4,0.5447,138
20260918,osi_target_t06h,0,48,6624,0.191,14,2,0.4704,118
20260918,osi_target_t06h,1,47,6486,0.4088,22,3,0.4704,110
20260918,osi_target_t06h,2,48,6624,0.4704,43,5,0.4088,89
20260918,osi_target_t06h,3,48,6624,0.1817,18,3,0.4704,114
20260918,osi_target_t06h,4,48,6624,0.2651,35,4,0.4704,97
20260918,osi_target_t24h,0,48,5760,0.191,10,1,0.3277,16
20260918,osi_target_t24h,1,47,5640,0.1347,0,0,0.3277,26
20260918,osi_target_t24h,2,48,5760,0.3277,3,2,0.191,23
20260918,osi_target_t24h,3,48,5760,0.1817,13,1,0.3277,13
20260918,osi_target_t24h,4,48,5760,0.1293,0,0,0.3277,26
20260918,osi_target_t48h,0,48,4608,0.191,10,1,0.3277,15
20260918,osi_target_t48h,1,47,4512,0.1154,0,0,0.3277,25
20260918,osi_target_t48h,2,48,4608,0.3277,2,1,0.191,23
20260918,osi_target_t48h,3,48,4608,0.1817,13,1,0.3277,12
20260918,osi_target_t48h,4,48,4608,0.075,0,0,0.3277,25
