split_seed,fipsCode,horizon,target_hour,feature,query_value,donor_mean,donor_std,donor_min,donor_max,outside_support
20260918,18013,1,73,last_P_t,0.000187248,0.045856630816753924,0.09389127246185008,0.0,0.824241807,False
20260918,18013,1,73,last_N_t,0.0,0.0010862199947643983,0.003666421785936914,0.0,0.031160644,False
20260918,18013,1,73,last_R_t,0.000187248,0.0034698883298429316,0.00667646644573835,0.0,0.039181763,False
20260918,18013,1,73,N_t_mean_72h,0.004413243763888889,0.0018045924845840604,0.0022439934861840996,6.643791666666666e-06,0.018623942125,False
20260918,18013,1,73,N_t_max_72h,0.076803046,0.029828601549738248,0.043002706237668206,0.000159451,0.379164122,False
20260918,18013,1,73,gust_at_t1h,8.9,23.012565445026176,11.093007524183005,1.2,44.3,False
20260918,18013,1,73,log_customers,9.276315360899716,10.159441362256166,1.1301572377134186,7.1180162044653335,13.453719692845613,False
20260918,18013,1,73,pct_forest,83.22,39.90104712041885,27.993494344313458,0.97,88.72,False
20260918,18013,1,74,last_P_t,0.000187248,0.045856630816753924,0.09389127246185008,0.0,0.824241807,False
20260918,18013,1,74,last_N_t,0.0,0.0010862199947643983,0.003666421785936914,0.0,0.031160644,False
20260918,18013,1,74,last_R_t,0.000187248,0.0034698883298429316,0.00667646644573835,0.0,0.039181763,False
20260918,18013,1,74,N_t_mean_72h,0.004413243763888889,0.0018045924845840604,0.0022439934861840996,6.643791666666666e-06,0.018623942125,False
20260918,18013,1,74,N_t_max_72h,0.076803046,0.029828601549738248,0.043002706237668206,0.000159451,0.379164122,False
20260918,18013,1,74,gust_at_t1h,9.7,22.460732984293184,10.333237050625009,0.6,46.6,False
20260918,18013,1,74,log_customers,9.276315360899716,10.162185597315645,1.1312915013767972,7.1180162044653335,13.453719692845613,False
20260918,18013,1,74,pct_forest,83.22,39.90104712041885,27.993494344313458,0.97,88.72,False
20260918,18013,1,75,last_P_t,0.000187248,0.045856630816753924,0.09389127246185008,0.0,0.824241807,False
20260918,18013,1,75,last_N_t,0.0,0.0010862199947643983,0.003666421785936914,0.0,0.031160644,False
