split_seed,horizon,fipsCode,countyName,stateAbbr,fold,target_hour,origin_hour,N_true,N_raw,N_clipped,N_aligned,P_true,R_true,OSI_true,OSI_pred,P_pred,R_pred,gust_target,last_N,last_P,nbr8_mean_last_N_t,nbr8_max_last_N_t,nbr8_mean_gust_at_t1h,nbr8_max_gust_at_t1h,neighbor_weather_target_hour
20260918,1,18013,Brown County,IN,2,73,72,0.0,0.000963783369009651,0.000963783369009651,0.000963783369009651,0.0,6.24e-05,0.0079,0.008691205817730275,0.0008382594091251225,0.0038601517599232125,8.9,0.0,0.000187248,0.0,0.0,9.2125,17.0,73
20260918,1,18013,Brown County,IN,2,74,73,0.0,0.0006525354104730905,0.0006525354104730905,0.0006525354104730905,0.0,3.12e-05,0.0001,0.0,0.0009253912130146745,0.004482350737375158,9.7,0.0,0.000187248,0.0,0.0,8.937499999999998,11.4,74
20260918,1,18013,Brown County,IN,2,75,74,0.0,0.0009475186614685585,0.0009475186614685585,0.0009475186614685585,0.0,0.0,0.0,0.0012046137026309927,0.0014842706777516241,0.0029114091151593137,6.7,0.0,0.000187248,0.0,0.0,7.175,9.7,75
20260918,1,18013,Brown County,IN,2,76,75,0.0,0.0002823388256505724,0.0002823388256505724,0.0002823388256505724,0.0,0.0,0.0,0.0016568577997216768,0.0027598131429238696,0.0018681364896140792,7.2,0.0,0.000187248,0.0,0.0,7.9125000000000005,10.9,76
20260918,1,18013,Brown County,IN,2,77,76,0.0,0.0003685932484809226,0.0003685932484809226,0.0003685932484809226,0.0,0.0,0.0,0.002550103385599155,0.0008621084955888105,0.002729542158585496,5.3,0.0,0.000187248,0.0,0.0,7.987500000000001,12.5,77
20260918,1,18013,Brown County,IN,2,78,77,0.0,0.0005586209779790717,0.0005586209779790717,0.0005036487561615554,0.0,0.0,0.0,0.0072340569201627914,0.010644416109158129,0.0021644523786979748,10.3,0.0,0.000187248,0.0,0.0,9.225000000000001,13.4,78
20260918,1,18013,Brown County,IN,2,79,78,3.12e-05,0.0012029793163535478,0.0012029793163535478,0.0008270303453205125,0.0,0.0,0.0,0.006992792049677659,0.010282876974826887,0.0017973021744246325,12.8,0.0,0.000187248,0.0,0.0,10.15,12.3,79
20260918,1,18013,Brown County,IN,2,80,79,3.12e-05,0.0012139699478867021,0.0012139699478867021,0.0009324531821306534,9.36e-05,0.0,0.0001,0.007376283829573934,0.01037384069298922,0.001878945973789795,11.1,0.0,0.000187248,0.0,0.0,11.6625,14.5,80
20260918,1,18013,Brown County,IN,2,81,80,6.24e-05,0.0011959285390283447,0.0011959285390283447,0.0009234324777014747,9.36e-05,0.0,0.0001,0.007700098217761955,0.01095671554469262,0.0019251206165469973,8.6,0.0,0.000187248,0.0,0.0,9.299999999999999,10.6,81
20260918,1,18013,Brown County,IN,2,82,81,3.12e-05,0.0011284208382150555,0.0011284208382150555,0.0008920145830462487,0.000187266,3.12e-05,0.0001,0.006284801617404016,0.008054522028987352,0.003038894663490027,8.8,0.0,0.000187248,0.0,0.0,9.3875,10.7,82
20260918,1,18013,Brown County,IN,2,83,82,3.12e-05,0.0009009303971117906,0.0009009303971117906,0.0007136867820554406,9.36e-05,6.24e-05,0.0001,0.00587071033494321,0.007210192364590387,0.0018226144882029487,9.0,0.0,0.000187248,0.0,0.0,9.1375,9.9,83
20260918,1,18013,Brown County,IN,2,84,83,0.0,0.0008029538075379933,0.0008029538075379933,0.0006597250866199872,0.0,6.24e-05,0.0,0.0052311981206913365,0.005758543463442556,0.0017777948300353396,10.5,0.0,0.000187248,0.0,0.0,10.2375,10.8,84
20260918,1,18013,Brown County,IN,2,85,84,0.0,0.0007010220095868656,0.0007010220095868656,0.0005930947083355573,0.0,3.12e-05,0.0,0.004735185533779172,0.003910097007950085,0.0016272858756853211,9.2,0.0,0.000187248,0.0,0.0,9.375,10.5,85
20260918,1,18013,Brown County,IN,2,86,85,0.0,0.0005264957154059335,0.0005264957154059335,0.000514215383959023,0.0,0.0,0.0,0.004736844707499952,0.004597229553338216,0.0014719848440193184,7.4,0.0,0.000187248,0.0,0.0,8.762500000000001,10.3,86
20260918,1,18013,Brown County,IN,2,87,86,0.0,0.0005365414625619608,0.0005365414625619608,0.0004278686995047446,0.0,0.0,0.0,0.004607157843455098,0.004059794787373958,0.0012642329427829243,12.4,0.0,0.000187248,0.0,0.0,13.200000000000001,15.9,87
20260918,1,18013,Brown County,IN,2,88,87,0.0,0.0007846596205103952,0.0007846596205103952,0.0004423287864323456,0.0,0.0,0.0,0.0038062386093656864,0.003474898675347535,0.0010053654702274926,13.0,0.0,0.000187248,0.0,0.0,13.712499999999999,18.5,88
20260918,1,18013,Brown County,IN,2,89,88,0.0,0.0010575145752013077,0.0010575145752013077,0.0005863439387638703,0.0,0.0,0.0,0.002890845462745388,0.0018476532027967372,0.001241693673928992,12.8,0.0,0.000187248,0.0,0.0,14.299999999999999,17.5,89
20260918,1,18013,Brown County,IN,2,90,89,0.0,0.0007856351984067478,0.0007856351984067478,0.0004341961097051495,0.0,0.0,0.0,0.0029314761107107883,0.0010858298908765884,0.0012722275564271243,13.9,0.0,0.000187248,0.0,0.0,15.312499999999998,18.1,90
20260918,1,18013,Brown County,IN,2,91,90,0.0,0.0006943817586898468,0.0006943817586898468,0.00039063888407915,0.0,0.0,0.0,0.0027948797374976243,0.0009427416333059616,0.0012479246054840584,10.7,0.0,0.000187248,0.0,0.0,13.525,18.2,91
20260918,1,18013,Brown County,IN,2,92,91,0.0,0.0007679869475193182,0.0007679869475193182,0.00042540588624049674,0.0,0.0,0.0,0.002501461749739511,0.0006803231727211116,0.0011644759535257968,10.4,0.0,0.000187248,0.0,0.0,14.074999999999998,18.8,92
20260918,1,18013,Brown County,IN,2,93,92,0.0,0.0006057236253150951,0.0006057236253150951,0.0003440735564166074,0.0,0.0,0.0,0.0020678116794747518,0.0008706370527194868,0.0012384396776743494,18.4,0.0,0.000187248,0.0,0.0,17.025000000000002,21.8,93
