kind,split_seed,horizon,space,fipsCode,low_activity,true_peak,pred_peak,true_peak_hour,pred_peak_hour,peak_hour_difference,prediction_at_true_peak,amplitude_ratio,true_peak_ties,prediction_peak_ties,lag,common_start,common_end,correlation,n,rmse,mae,sse,bias
peak,20260918,1,model_raw,18009,False,0.004549404,0.005616296124884068,111.0,120.0,9.0,0.003024527418603622,0.6648183846947033,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18013,False,0.080875238,0.006342169000588787,108.0,119.0,11.0,0.004977629231023199,0.06154701184339264,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18023,True,0.000935148,0.004937667820081903,108.0,119.0,,0.002585908304607687,,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18025,False,0.096087999,0.01282760239543624,108.0,108.0,0.0,0.01282760239543624,0.1334984860641779,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18027,False,0.005195599,0.01183803492013475,118.0,108.0,-10.0,0.004482827584719909,0.8628124658427081,2.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18029,False,0.008549904,0.005062935664077517,110.0,112.0,2.0,0.0046159826148770185,0.5398870694778583,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18033,False,0.013360917,0.0021647657109510102,121.0,110.0,-11.0,0.0010344405219605965,0.07742286865194929,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18035,False,0.009164726,0.0028636482251629225,110.0,120.0,10.0,0.0018901154439899014,0.20623807454689877,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18037,False,0.008871778,0.014865532771624744,201.0,108.0,-93.0,-2.47268569579323e-05,-0.002787136575997765,2.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18039,False,0.003080741,0.0023584813022653603,116.0,123.0,7.0,0.001026985975071941,0.33335680444150967,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18041,False,0.014678638,0.006192908029184409,108.0,109.0,1.0,0.004764878430017727,0.3246131166950045,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18043,False,0.007448231,0.003238669270137779,113.0,109.0,-4.0,0.0016992884855095345,0.22814658749299457,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18045,False,0.004766827,0.01583488850206731,111.0,108.0,-3.0,0.007410736343465127,1.5546476395021525,2.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18047,False,0.028861266,0.01058035513593235,113.0,109.0,-4.0,0.003115689773406388,0.10795402299422305,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18051,False,0.010716329,0.009983687115698565,108.0,108.0,0.0,0.009983687115698565,0.9316331288166465,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18059,False,0.008774032,0.003062418470599135,109.0,109.0,0.0,0.003062418470599135,0.3490320608129917,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18061,False,0.023479709,0.016170892891136046,108.0,109.0,1.0,0.012887711325547752,0.5488871827818543,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18065,False,0.010122079,0.0035693266292624298,121.0,108.0,-13.0,0.0015757977793336311,0.15567926108200014,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18067,False,0.008659168,0.001930216482203775,121.0,108.0,-13.0,0.0015164538418459912,0.17512696853161772,3.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18069,False,0.003667992,0.002712687094740202,107.0,119.0,12.0,0.000979262092500541,0.26697498045266754,2.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18071,False,0.005904338,0.017121280907895827,109.0,108.0,-1.0,0.0149547556248694,2.532842060340956,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18073,True,0.000415747,0.007746680943336733,112.0,113.0,,0.002285542693354935,,3.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18077,False,0.018941434,0.010830693569917045,110.0,108.0,-2.0,0.0067073551898659,0.35411021097272255,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18083,False,0.004733888,0.008403753945117722,108.0,109.0,1.0,0.007222356104428444,1.5256710983505406,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18085,False,0.002058642,0.0024296063093896723,209.0,120.0,-89.0,4.065141598492347e-05,0.01974671457442502,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18087,False,0.002255894,0.003400524795069744,112.0,120.0,8.0,0.001692118529856573,0.750087783316314,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18089,True,0.000888146,0.003249798861944653,118.0,112.0,,0.000642505762049943,,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18091,False,0.003557745,0.0031683590863943855,135.0,117.0,-18.0,0.0001115725336687555,0.03136046390867122,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18093,False,0.040320706,0.007746923522206053,118.0,119.0,1.0,0.005631262759166315,0.13966180947244117,2.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18095,False,0.008630422,0.0035392802791856313,110.0,120.0,10.0,0.0019283855478809224,0.22344046998871228,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18097,False,0.003395849,0.0030144834272384587,110.0,108.0,-2.0,0.0014662430157572843,0.4317750924017188,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18099,False,0.037722908,0.0028557905021823265,153.0,120.0,-33.0,-9.571450635646998e-06,-0.00025373045565964844,2.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18101,False,0.021096317,0.021831108978413345,108.0,119.0,11.0,0.019763242274235412,0.9368100732575934,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18103,False,0.004432968,0.004420011079961756,111.0,109.0,-2.0,0.0020996108648263733,0.47363546608646245,2.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18105,False,0.011888581,0.008313794891368092,119.0,108.0,-11.0,0.00356111991236804,0.29954120785046084,2.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18107,False,0.003899111,0.003935530380710642,108.0,108.0,0.0,0.003935530380710642,1.0093404318857921,1.0,1.0,,,,,,,,,
peak,20260918,1,model_raw,18109,False,0.004961355,0.008576830844708443,108.0,110.0,2.0,0.008167534393134362,1.6462305948948146,1.0,1.0,,,,,,,,,
