split_seed,fipsCode,countyName,fold,origin_timestamp,horizon,target_hour,target_timestamp,known_D_lower_bound,baseline_D,projected_D,actual_D,D_sse_reduction,actual_osi,baseline_P_t,actual_P_t,baseline_N_t,actual_N_t,baseline_D_t,actual_D_t,baseline_R_t,actual_R_t,baseline_C0_direct_osi,candidate_C0_direct_osi,sse_reduction_C0_direct_osi,baseline_C1_component_osi,candidate_C1_component_osi,sse_reduction_C1_component_osi,baseline_C2_equal_blend,candidate_C2_equal_blend,sse_reduction_C2_equal_blend,baseline_C3_aligned_component,candidate_C3_aligned_component,sse_reduction_C3_aligned_component,baseline_v18_rule,candidate_v18_rule,sse_reduction_v18_rule
42,18013,Brown County,1,2026-03-14 00:00:00,osi_target_t01h,73,2026-03-14 01:00:00,0.03164497683333333,0.018414489136646183,0.03164497683333333,0.031660581,0.00017545870616239082,0.0079,0.01649290907133074,0.0,0.002152521239802685,0.0,0.018414489136646183,0.031660581,0.004340685527529021,6.24e-05,0.012422827749963764,0.012422827749963764,0.0,0.01152009979387188,0.014827721718043668,-3.488820568506268e-05,0.011971463771917823,0.013625274734003715,-1.6201953533782e-05,0.01152009979387188,0.014827721718043668,-3.488820568506268e-05,0.01152009979387188,0.014827721718043668,-3.488820568506268e-05
42,18029,Dearborn County,1,2026-03-14 03:00:00,osi_target_t01h,76,2026-03-14 04:00:00,8.066666666666667e-06,0.0,8.066666666666667e-06,8.07e-06,6.51248888888889e-11,0.0,0.0,0.0,0.00012625970946303578,0.0,0.0,8.07e-06,6.240762916512928e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,18073,Jasper County,2,2026-03-14 00:00:00,osi_target_t01h,73,2026-03-14 01:00:00,0.004670057166666666,0.0019393852154041657,0.004670057166666666,0.00609333,1.5229551715366236e-05,0.0032,0.0,0.004221433,0.002969256687292906,0.0,0.0019393852154041657,0.00609333,0.000755873061505657,3.2e-05,0.0015226218971771438,0.0015226218971771438,0.0,0.001448498838252993,0.002131166826068618,1.925351965904883e-06,0.0014855603677150684,0.0018268943616228809,1.0538841586062557e-06,0.001448498838252993,0.002131166826068618,1.925351965904883e-06,0.001448498838252993,0.002131166826068618,1.925351965904883e-06
42,18073,Jasper County,2,2026-03-14 01:00:00,osi_target_t01h,74,2026-03-14 02:00:00,0.0032466493333333335,0.0009240756375899994,0.0032466493333333335,0.005373494,1.5273855527622854e-05,0.003,0.0,0.004221433,0.0028327303601513006,3.2e-05,0.0009240756375899994,0.005373494,0.001126298929926434,3.2e-05,0.0017991500659030708,0.0017991500659030708,0.0,0.0011098446424578118,0.0016904880663936453,1.8578657713879837e-06,0.0014544973541804414,0.001744819066148358,8.130992515305758e-07,0.0011098446424578118,0.0016904880663936453,1.8578657713879837e-06,0.0011098446424578118,0.0016904880663936453,1.8578657713879837e-06
42,18073,Jasper County,2,2026-03-14 02:00:00,osi_target_t01h,75,2026-03-14 03:00:00,0.0019831749999999998,0.00015065229161929128,0.0019831749999999998,0.004829583,1.3790354071364e-05,0.0029,0.0,0.004317375,0.0027680027564254447,3.2e-05,0.00015065229161929128,0.004829583,0.0009396737240098501,0.0,0.0018658872233445372,0.0018658872233445372,0.0,0.0,0.0013706273423479205,6.071019274026215e-06,0.0013891919442986403,0.0016182572828462288,6.396765881953904e-07,0.0,0.0013706273423479205,6.071019274026215e-06,0.0,0.0013706273423479205,6.071019274026215e-06
42,18097,Marion County,1,2026-03-14 01:00:00,osi_target_t01h,74,2026-03-14 02:00:00,0.0007643646666666667,0.0007279183537890877,0.0007643646666666667,0.001378444,4.609018875101393e-08,0.0008,0.0004277379561633156,0.001124651,0.0,0.0,0.0007279183537890877,0.001378444,0.00022125906664754427,9.22e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,18103,Miami County,0,2026-03-14 00:00:00,osi_target_t01h,73,2026-03-14 01:00:00,0.023821831666666668,0.018278286282383677,0.023821831666666668,0.025801859,5.2683638196513564e-05,0.0088,0.005109696606603425,0.00581095,0.0013564248981859136,0.0,0.018278286282383677,0.025801859,0.0016541986974243693,8.61e-05,0.00526455132339255,0.00526455132339255,0.0,0.006922779057859922,0.00830866540393067,3.2825487803146713e-06,0.006093665190626236,0.00678660836366161,3.270502219150749e-06,0.006922779057859922,0.00830866540393067,3.2825487803146713e-06,0.006922779057859922,0.00830866540393067,3.2825487803146713e-06
42,18111,Newton County,2,2026-03-14 00:00:00,osi_target_t01h,73,2026-03-14 01:00:00,0.021044380333333335,0.014910529600882426,0.021044380333333335,0.025988905,9.828207730449837e-05,0.0092,0.00705892660669613,0.008683068,0.0025665052167170347,0.0,0.014910529600882426,0.025988905,0.0017290208716698528,0.007718283,0.015190548755724604,0.015190548755724604,0.0,0.0072765777815830355,0.008810040464695763,3.54748459112534e-06,0.01123356326865382,0.012000294610210183,-3.7062703363541906e-06,0.0072765777815830355,0.008810040464695763,3.54748459112534e-06,0.0072765777815830355,0.008810040464695763,3.54748459112534e-06
42,18111,Newton County,2,2026-03-14 01:00:00,osi_target_t01h,74,2026-03-14 02:00:00,0.015677761833333335,0.009567990809192444,0.015677761833333335,0.022009165,0.00011469614918713935,0.0084,0.006066296579173096,0.008321274,0.0022375744348207983,0.0,0.009567990809192444,0.022009165,0.001610773946475278,0.00458273,0.013737513521480928,0.013737513521480928,0.0,0.0054405899915071,0.006968032747542323,6.707577386256754e-06,0.009589051756494014,0.010352773134511625,-2.3994788352488566e-06,0.0054405899915071,0.006968032747542323,6.707577386256754e-06,0.0054405899915071,0.006968032747542323,6.707577386256754e-06
42,18111,Newton County,2,2026-03-14 02:00:00,osi_target_t01h,75,2026-03-14 03:00:00,0.010492040666666667,0.010156203551935241,0.010492040666666667,0.018029426,5.175454053562392e-06,0.0073,0.004632297031724725,0.00723589,0.003257095217423165,0.0,0.010156203551935241,0.018029426,0.0012120610341788316,0.001205982,0.013381571002208412,0.013381571002208412,0.0,0.005410746923353925,0.005494706202036782,3.1019149065219955e-07,0.009396158962781169,0.009438138602122597,-1.7775428463894743e-07,0.005410746923353925,0.005494706202036782,3.1019149065219955e-07,0.005410746923353925,0.005494706202036782,3.1019149065219955e-07
