split_seed,fipsCode,fold,target_hour,known_D,baseline_D,projected_D,actual_D,baseline_P,actual_P,baseline_osi,candidate_osi,actual_osi
42,39117,4,73,0.5713243775,0.4073621213400394,0.5713243775,0.825123821,0.3592742788502163,0.7618563,0.24530780767678373,0.28629837171677386,0.5087
42,39117,4,74,0.42964244516666666,0.40675779729946976,0.42964244516666666,0.808619988,0.35859515416928345,0.751068594,0.2448707516496926,0.2505919136164918,0.5023
42,39117,4,75,0.2837879095,0.39738029915912754,0.39738029915912754,0.787943551,0.355298129127409,0.751068594,0.2413394543754957,0.2413394543754957,0.4922
42,39117,4,76,0.1373736345,0.3915991774552263,0.3915991774552263,0.742570731,0.3525253401233036,0.606248728,0.23853116542435393,0.23853116542435393,0.4232
20260917,39117,4,73,0.5713243775,0.40475410322647465,0.5713243775,0.825123821,0.3418338948498659,0.7618563,0.2383516491807084,0.2799942177490898,0.5087
20260917,39117,4,74,0.42964244516666666,0.4045107233626299,0.42964244516666666,0.808619988,0.3332787509281044,0.751068594,0.2344560766257239,0.2407390070767331,0.5023
20260917,39117,4,75,0.2837879095,0.40290176080522644,0.40290176080522644,0.787943551,0.3334814882140678,0.751068594,0.23379737245653767,0.23379737245653767,0.4922
20260917,39117,4,76,0.1373736345,0.3964246036639378,0.3964246036639378,0.742570731,0.3397167476228131,0.606248728,0.23449400810947646,0.23449400810947646,0.4232
20260918,39117,1,73,0.5713243775,0.4303272869446187,0.5713243775,0.825123821,0.39640930564217874,0.7618563,0.26776807220318855,0.30301734484203385,0.5087
20260918,39117,1,74,0.42964244516666666,0.4280032736888273,0.42964244516666666,0.808619988,0.3912996860234717,0.751068594,0.2647858078752518,0.26519560074471166,0.5023
20260918,39117,1,75,0.2837879095,0.42542913138135074,0.42542913138135074,0.787943551,0.3876353328580366,0.751068594,0.2622294976756906,0.2622294976756906,0.4922
20260918,39117,1,76,0.1373736345,0.4178139579021847,0.4178139579021847,0.742570731,0.38944375106853113,0.606248728,0.25979233681608127,0.25979233681608127,0.4232
