row_id,fipsCode,fold,stateAbbr,severity_tier
0,18009,0,IN,4
1,18009,0,IN,4
2,18009,0,IN,4
3,18009,0,IN,4
4,18009,0,IN,4
5,18009,0,IN,4
6,18009,0,IN,4
7,18009,0,IN,4
8,18009,0,IN,4
9,18009,0,IN,4
10,18009,0,IN,4
11,18009,0,IN,4
12,18009,0,IN,4
13,18009,0,IN,4
14,18009,0,IN,4
15,18009,0,IN,4
16,18009,0,IN,4
17,18009,0,IN,4
18,18009,0,IN,4
19,18009,0,IN,4
20,18009,0,IN,4
21,18009,0,IN,4
22,18009,0,IN,4
23,18009,0,IN,4
24,18009,0,IN,4
25,18009,0,IN,4
26,18009,0,IN,4
27,18009,0,IN,4
28,18009,0,IN,4
29,18009,0,IN,4
30,18009,0,IN,4
31,18009,0,IN,4
32,18009,0,IN,4
33,18009,0,IN,4
34,18009,0,IN,4
35,18009,0,IN,4
36,18009,0,IN,4
37,18009,0,IN,4
38,18009,0,IN,4
39,18009,0,IN,4
40,18009,0,IN,4
41,18009,0,IN,4
42,18009,0,IN,4
43,18009,0,IN,4
44,18009,0,IN,4
45,18009,0,IN,4
46,18009,0,IN,4
47,18009,0,IN,4
48,18009,0,IN,4
49,18009,0,IN,4
50,18009,0,IN,4
51,18009,0,IN,4
52,18009,0,IN,4
53,18009,0,IN,4
54,18009,0,IN,4
55,18009,0,IN,4
56,18009,0,IN,4
57,18009,0,IN,4
58,18009,0,IN,4
59,18009,0,IN,4
60,18009,0,IN,4
61,18009,0,IN,4
62,18009,0,IN,4
63,18009,0,IN,4
64,18009,0,IN,4
65,18009,0,IN,4
66,18009,0,IN,4
67,18009,0,IN,4
68,18009,0,IN,4
69,18009,0,IN,4
70,18009,0,IN,4
71,18009,0,IN,4
72,18009,0,IN,4
73,18009,0,IN,4
74,18009,0,IN,4
75,18009,0,IN,4
76,18009,0,IN,4
77,18009,0,IN,4
78,18009,0,IN,4
79,18009,0,IN,4
80,18009,0,IN,4
81,18009,0,IN,4
82,18009,0,IN,4
83,18009,0,IN,4
84,18009,0,IN,4
85,18009,0,IN,4
86,18009,0,IN,4
87,18009,0,IN,4
88,18009,0,IN,4
89,18009,0,IN,4
90,18009,0,IN,4
91,18009,0,IN,4
92,18009,0,IN,4
93,18009,0,IN,4
94,18009,0,IN,4
95,18009,0,IN,4
96,18009,0,IN,4
97,18009,0,IN,4
98,18009,0,IN,4
99,18009,0,IN,4
100,18009,0,IN,4
101,18009,0,IN,4
102,18009,0,IN,4
103,18009,0,IN,4
104,18009,0,IN,4
105,18009,0,IN,4
106,18009,0,IN,4
107,18009,0,IN,4
108,18009,0,IN,4
109,18009,0,IN,4
110,18009,0,IN,4
111,18009,0,IN,4
112,18009,0,IN,4
113,18009,0,IN,4
114,18009,0,IN,4
115,18009,0,IN,4
116,18009,0,IN,4
117,18009,0,IN,4
118,18009,0,IN,4
119,18009,0,IN,4
120,18009,0,IN,4
121,18009,0,IN,4
122,18009,0,IN,4
123,18009,0,IN,4
124,18009,0,IN,4
125,18009,0,IN,4
126,18009,0,IN,4
127,18009,0,IN,4
128,18009,0,IN,4
129,18009,0,IN,4
130,18009,0,IN,4
131,18009,0,IN,4
132,18009,0,IN,4
133,18009,0,IN,4
134,18009,0,IN,4
135,18009,0,IN,4
136,18009,0,IN,4
137,18009,0,IN,4
138,18009,0,IN,4
139,18009,0,IN,4
140,18009,0,IN,4
141,18009,0,IN,4
142,18009,0,IN,4
143,18009,0,IN,4
144,18013,1,IN,4
145,18013,1,IN,4
146,18013,1,IN,4
147,18013,1,IN,4
148,18013,1,IN,4
149,18013,1,IN,4
150,18013,1,IN,4
151,18013,1,IN,4
152,18013,1,IN,4
153,18013,1,IN,4
154,18013,1,IN,4
155,18013,1,IN,4
156,18013,1,IN,4
157,18013,1,IN,4
158,18013,1,IN,4
159,18013,1,IN,4
160,18013,1,IN,4
161,18013,1,IN,4
162,18013,1,IN,4
163,18013,1,IN,4
164,18013,1,IN,4
165,18013,1,IN,4
166,18013,1,IN,4
167,18013,1,IN,4
168,18013,1,IN,4
169,18013,1,IN,4
170,18013,1,IN,4
171,18013,1,IN,4
172,18013,1,IN,4
173,18013,1,IN,4
174,18013,1,IN,4
175,18013,1,IN,4
176,18013,1,IN,4
177,18013,1,IN,4
178,18013,1,IN,4
179,18013,1,IN,4
180,18013,1,IN,4
181,18013,1,IN,4
182,18013,1,IN,4
183,18013,1,IN,4
184,18013,1,IN,4
185,18013,1,IN,4
186,18013,1,IN,4
187,18013,1,IN,4
188,18013,1,IN,4
189,18013,1,IN,4
190,18013,1,IN,4
191,18013,1,IN,4
192,18013,1,IN,4
193,18013,1,IN,4
194,18013,1,IN,4
195,18013,1,IN,4
196,18013,1,IN,4
197,18013,1,IN,4
198,18013,1,IN,4
199,18013,1,IN,4
200,18013,1,IN,4
201,18013,1,IN,4
202,18013,1,IN,4
203,18013,1,IN,4
204,18013,1,IN,4
205,18013,1,IN,4
206,18013,1,IN,4
207,18013,1,IN,4
208,18013,1,IN,4
209,18013,1,IN,4
210,18013,1,IN,4
211,18013,1,IN,4
212,18013,1,IN,4
213,18013,1,IN,4
214,18013,1,IN,4
215,18013,1,IN,4
216,18013,1,IN,4
217,18013,1,IN,4
218,18013,1,IN,4
219,18013,1,IN,4
220,18013,1,IN,4
221,18013,1,IN,4
222,18013,1,IN,4
223,18013,1,IN,4
224,18013,1,IN,4
225,18013,1,IN,4
226,18013,1,IN,4
227,18013,1,IN,4
228,18013,1,IN,4
229,18013,1,IN,4
230,18013,1,IN,4
231,18013,1,IN,4
232,18013,1,IN,4
233,18013,1,IN,4
234,18013,1,IN,4
235,18013,1,IN,4
236,18013,1,IN,4
237,18013,1,IN,4
238,18013,1,IN,4
239,18013,1,IN,4
240,18013,1,IN,4
241,18013,1,IN,4
242,18013,1,IN,4
243,18013,1,IN,4
244,18013,1,IN,4
245,18013,1,IN,4
246,18013,1,IN,4
247,18013,1,IN,4
248,18013,1,IN,4
249,18013,1,IN,4
250,18013,1,IN,4
251,18013,1,IN,4
252,18013,1,IN,4
253,18013,1,IN,4
254,18013,1,IN,4
255,18013,1,IN,4
256,18013,1,IN,4
257,18013,1,IN,4
258,18013,1,IN,4
259,18013,1,IN,4
260,18013,1,IN,4
261,18013,1,IN,4
262,18013,1,IN,4
263,18013,1,IN,4
264,18013,1,IN,4
265,18013,1,IN,4
266,18013,1,IN,4
267,18013,1,IN,4
268,18013,1,IN,4
269,18013,1,IN,4
270,18013,1,IN,4
271,18013,1,IN,4
272,18013,1,IN,4
273,18013,1,IN,4
274,18013,1,IN,4
275,18013,1,IN,4
276,18013,1,IN,4
277,18013,1,IN,4
278,18013,1,IN,4
279,18013,1,IN,4
280,18013,1,IN,4
281,18013,1,IN,4
282,18013,1,IN,4
283,18013,1,IN,4
284,18013,1,IN,4
285,18013,1,IN,4
286,18013,1,IN,4
287,18013,1,IN,4
288,18023,3,IN,3
289,18023,3,IN,3
290,18023,3,IN,3
291,18023,3,IN,3
292,18023,3,IN,3
293,18023,3,IN,3
294,18023,3,IN,3
295,18023,3,IN,3
296,18023,3,IN,3
297,18023,3,IN,3
298,18023,3,IN,3
299,18023,3,IN,3
300,18023,3,IN,3
301,18023,3,IN,3
302,18023,3,IN,3
303,18023,3,IN,3
304,18023,3,IN,3
305,18023,3,IN,3
306,18023,3,IN,3
307,18023,3,IN,3
308,18023,3,IN,3
309,18023,3,IN,3
310,18023,3,IN,3
311,18023,3,IN,3
312,18023,3,IN,3
313,18023,3,IN,3
314,18023,3,IN,3
315,18023,3,IN,3
316,18023,3,IN,3
317,18023,3,IN,3
318,18023,3,IN,3
319,18023,3,IN,3
320,18023,3,IN,3
321,18023,3,IN,3
322,18023,3,IN,3
323,18023,3,IN,3
324,18023,3,IN,3
325,18023,3,IN,3
326,18023,3,IN,3
327,18023,3,IN,3
328,18023,3,IN,3
329,18023,3,IN,3
330,18023,3,IN,3
331,18023,3,IN,3
332,18023,3,IN,3
333,18023,3,IN,3
334,18023,3,IN,3
335,18023,3,IN,3
336,18023,3,IN,3
337,18023,3,IN,3
338,18023,3,IN,3
339,18023,3,IN,3
340,18023,3,IN,3
341,18023,3,IN,3
342,18023,3,IN,3
343,18023,3,IN,3
344,18023,3,IN,3
345,18023,3,IN,3
346,18023,3,IN,3
347,18023,3,IN,3
348,18023,3,IN,3
349,18023,3,IN,3
350,18023,3,IN,3
351,18023,3,IN,3
352,18023,3,IN,3
353,18023,3,IN,3
354,18023,3,IN,3
355,18023,3,IN,3
356,18023,3,IN,3
357,18023,3,IN,3
358,18023,3,IN,3
359,18023,3,IN,3
360,18023,3,IN,3
361,18023,3,IN,3
362,18023,3,IN,3
363,18023,3,IN,3
364,18023,3,IN,3
365,18023,3,IN,3
366,18023,3,IN,3
367,18023,3,IN,3
368,18023,3,IN,3
369,18023,3,IN,3
370,18023,3,IN,3
371,18023,3,IN,3
372,18023,3,IN,3
373,18023,3,IN,3
374,18023,3,IN,3
375,18023,3,IN,3
376,18023,3,IN,3
377,18023,3,IN,3
378,18023,3,IN,3
379,18023,3,IN,3
380,18023,3,IN,3
381,18023,3,IN,3
382,18023,3,IN,3
383,18023,3,IN,3
384,18023,3,IN,3
385,18023,3,IN,3
386,18023,3,IN,3
387,18023,3,IN,3
388,18023,3,IN,3
389,18023,3,IN,3
390,18023,3,IN,3
391,18023,3,IN,3
392,18023,3,IN,3
393,18023,3,IN,3
394,18023,3,IN,3
395,18023,3,IN,3
396,18023,3,IN,3
397,18023,3,IN,3
398,18023,3,IN,3
399,18023,3,IN,3
400,18023,3,IN,3
401,18023,3,IN,3
402,18023,3,IN,3
403,18023,3,IN,3
404,18023,3,IN,3
405,18023,3,IN,3
406,18023,3,IN,3
407,18023,3,IN,3
408,18023,3,IN,3
409,18023,3,IN,3
410,18023,3,IN,3
411,18023,3,IN,3
412,18023,3,IN,3
413,18023,3,IN,3
414,18023,3,IN,3
415,18023,3,IN,3
416,18023,3,IN,3
417,18023,3,IN,3
418,18023,3,IN,3
419,18023,3,IN,3
420,18023,3,IN,3
421,18023,3,IN,3
422,18023,3,IN,3
423,18023,3,IN,3
424,18023,3,IN,3
425,18023,3,IN,3
426,18023,3,IN,3
427,18023,3,IN,3
428,18023,3,IN,3
429,18023,3,IN,3
430,18023,3,IN,3
431,18023,3,IN,3
432,18025,2,IN,4
