query_fips,window,variant,excluded_fold,candidate_count,nearest_distance,fifth_distance,nearest_distance_percentile,fifth_distance_percentile,reference_d5_q95,is_focus
18009,early,context,0,191,0.7329301379645883,0.8339400727906443,0.9162303664921466,0.8167539267015707,1.0026659553864583,False
18069,early,context,0,191,0.23600767580181045,0.4239929996013845,0.02617801047120419,0.06282722513089005,1.0026659553864583,False
18071,early,context,0,191,0.3269907128025321,0.5421170640420183,0.21465968586387435,0.3403141361256545,1.0026659553864583,False
18091,early,context,0,191,0.4593148860717776,0.596941442385425,0.5340314136125655,0.4607329842931937,1.0026659553864583,False
18095,early,context,0,191,0.39580065939328773,0.506038041701592,0.39267015706806285,0.25654450261780104,1.0026659553864583,False
18103,early,context,0,191,0.5584749350813035,0.6783883747063282,0.7225130890052356,0.6020942408376964,1.0026659553864583,False
18125,early,context,0,191,0.40233986773595404,0.4776198237780711,0.41361256544502617,0.193717277486911,1.0026659553864583,False
18135,early,context,0,191,0.43395909792744053,0.5120864175120708,0.4712041884816754,0.2617801047120419,1.0026659553864583,False
18137,early,context,0,191,0.31234911072717214,0.4302848298835483,0.16230366492146597,0.07853403141361257,1.0026659553864583,False
18147,early,context,0,191,0.3055935994462362,0.35063995749206306,0.1518324607329843,0.0,1.0026659553864583,False
18159,early,context,0,191,0.32071771073227184,0.5793878447087915,0.193717277486911,0.42408376963350786,1.0026659553864583,False
18161,early,context,0,191,0.3722108212300165,0.6337322208496823,0.33507853403141363,0.518324607329843,1.0026659553864583,False
18171,early,context,0,191,0.5651695781529656,0.8532379340007853,0.7382198952879581,0.8481675392670157,1.0026659553864583,False
18179,early,context,0,191,0.46697947256903244,0.5039810726948751,0.5654450261780105,0.25654450261780104,1.0026659553864583,False
39027,early,context,0,191,0.5276953570412294,0.6012516516216337,0.6858638743455497,0.4712041884816754,1.0026659553864583,False
39037,early,context,0,191,0.36930179086420656,0.6209128194103334,0.32460732984293195,0.49214659685863876,1.0026659553864583,False
39055,early,context,0,191,0.7459720666964369,0.8285060479255155,0.93717277486911,0.7958115183246073,1.0026659553864583,False
39059,early,context,0,191,0.49342665837291333,0.7270883844639061,0.6073298429319371,0.643979057591623,1.0026659553864583,False
39063,early,context,0,191,0.34997263287601654,0.6327636999451193,0.2670157068062827,0.518324607329843,1.0026659553864583,False
39069,early,context,0,191,0.5464785717326879,0.6050598412874485,0.7120418848167539,0.4712041884816754,1.0026659553864583,False
39099,early,context,0,191,0.5206567563098984,0.7464127444120329,0.6858638743455497,0.6910994764397905,1.0026659553864583,False
39101,early,context,0,191,0.8050631489709977,0.9295214446327411,0.9476439790575916,0.9267015706806283,1.0026659553864583,False
39123,early,context,0,191,0.38479098337652096,0.6465112014154016,0.3507853403141361,0.5654450261780105,1.0026659553864583,False
39127,early,context,0,191,0.6630538174669804,0.8391360597280489,0.8691099476439791,0.8219895287958116,1.0026659553864583,False
39133,early,context,0,191,0.5224005189465823,0.6597053316304412,0.6858638743455497,0.5916230366492147,1.0026659553864583,False
39135,early,context,0,191,0.4363703032246921,0.5285076392457658,0.4816753926701571,0.31413612565445026,1.0026659553864583,False
39137,early,context,0,191,0.521867755276887,0.6777154874005784,0.6858638743455497,0.6020942408376964,1.0026659553864583,False
39153,early,context,0,191,0.3864602474744818,0.6855543815731779,0.3507853403141361,0.6073298429319371,1.0026659553864583,False
42007,early,context,0,191,0.478039683413373,0.7319029197799143,0.5654450261780105,0.6596858638743456,1.0026659553864583,False
42009,early,context,0,191,0.7599506924714202,1.0282213848789277,0.93717277486911,0.9528795811518325,1.0026659553864583,False
42013,early,context,0,191,0.7649139732445943,0.8293830339070697,0.93717277486911,0.806282722513089,1.0026659553864583,False
42027,early,context,0,191,0.5499230476679364,0.7185896397261969,0.7172774869109948,0.6335078534031413,1.0026659553864583,False
42043,early,context,0,191,0.3370823081422722,0.5425506746078335,0.24083769633507854,0.3403141361256545,1.0026659553864583,False
42049,early,context,0,191,0.6861022822959245,0.8064898929041542,0.8848167539267016,0.7853403141361257,1.0026659553864583,False
42065,early,context,0,191,1.0467022827058385,1.265486389439177,0.9842931937172775,0.9738219895287958,1.0026659553864583,False
42081,early,context,0,191,0.48647615097847385,0.5811607876315118,0.6073298429319371,0.42408376963350786,1.0026659553864583,False
42095,early,context,0,191,0.3282701634710425,0.5948745353413263,0.225130890052356,0.45549738219895286,1.0026659553864583,False
42101,early,context,0,191,0.5819089789441051,0.9136275066872368,0.7486910994764397,0.9109947643979057,1.0026659553864583,False
42103,early,context,0,191,0.25524095111909695,0.5535783562695333,0.04712041884816754,0.3612565445026178,1.0026659553864583,False
54009,early,context,0,191,0.6347599105019202,0.8870933710217289,0.8219895287958116,0.900523560209424,1.0026659553864583,False
54025,early,context,0,191,0.48461789653216075,0.641655904976225,0.5916230366492147,0.5445026178010471,1.0026659553864583,False
54035,early,context,0,191,0.3237271099596049,0.6594354899516736,0.19895287958115182,0.5916230366492147,1.0026659553864583,False
54055,early,context,0,191,0.4132633693952322,0.6274557844966949,0.44502617801047123,0.5130890052356021,1.0026659553864583,False
54057,early,context,0,191,0.494617714929937,0.7507799448221013,0.6230366492146597,0.7015706806282722,1.0026659553864583,False
54071,early,context,0,191,0.5139227299348968,0.9276951324303155,0.680628272251309,0.9214659685863874,1.0026659553864583,False
54077,early,context,0,191,0.41250481136211653,0.4953660921421242,0.44502617801047123,0.2356020942408377,1.0026659553864583,False
54083,early,context,0,191,0.7923712487265951,0.874339106240024,0.93717277486911,0.8795811518324608,1.0026659553864583,False
54087,early,context,0,191,0.3368491571296049,0.47475349020728647,0.24083769633507854,0.17277486910994763,1.0026659553864583,False
18009,early,context_dem,0,191,0.6446381866893968,0.7472715130889837,0.8638743455497382,0.7382198952879581,0.9823692087185898,False
18069,early,context_dem,0,191,0.2062230130765877,0.3771372931159862,0.015706806282722512,0.02617801047120419,0.9823692087185898,False
18071,early,context_dem,0,191,0.3278984937060586,0.4785108333432748,0.18848167539267016,0.17801047120418848,0.9823692087185898,False
18091,early,context_dem,0,191,0.4049247735744061,0.5191838443923766,0.43455497382198954,0.2774869109947644,0.9823692087185898,False
18095,early,context_dem,0,191,0.34479721588317486,0.46217435307643256,0.225130890052356,0.1518324607329843,0.9823692087185898,False
18103,early,context_dem,0,191,0.5048575747972942,0.5967306295634534,0.6230366492146597,0.450261780104712,0.9823692087185898,False
18125,early,context_dem,0,191,0.35442204483895756,0.47886395041730045,0.2513089005235602,0.17801047120418848,0.9823692087185898,False
18135,early,context_dem,0,191,0.38512366684955296,0.49152288872046995,0.3769633507853403,0.2198952879581152,0.9823692087185898,False
18137,early,context_dem,0,191,0.3278645400661951,0.4391707384326309,0.18848167539267016,0.11518324607329843,0.9823692087185898,False
18147,early,context_dem,0,191,0.27161970983219197,0.3746677196001761,0.07853403141361257,0.02617801047120419,0.9823692087185898,False
18159,early,context_dem,0,191,0.32928471529882486,0.5103039859781459,0.18848167539267016,0.25654450261780104,0.9823692087185898,False
18161,early,context_dem,0,191,0.41729525858116173,0.5624931910563726,0.46596858638743455,0.387434554973822,0.9823692087185898,False
18171,early,context_dem,0,191,0.48989242315696363,0.7439488358125428,0.612565445026178,0.7382198952879581,0.9823692087185898,False
18179,early,context_dem,0,191,0.42879848313110314,0.44651636886261903,0.4816753926701571,0.12041884816753927,0.9823692087185898,False
39027,early,context_dem,0,191,0.485861768446734,0.5406805669164283,0.6073298429319371,0.33507853403141363,0.9823692087185898,False
