window,fipsCode,target_hour,target_time,actual,prediction
early,18009,73,2026-03-14 01:00:00,0.0675,0.0566166928679765
early,18009,74,2026-03-14 02:00:00,0.0671,0.05170338439854131
early,18009,75,2026-03-14 03:00:00,0.0669,0.04992896841246681
early,18009,76,2026-03-14 04:00:00,0.0665,0.049007181021244364
early,18009,77,2026-03-14 05:00:00,0.0659,0.04749685018474843
early,18009,78,2026-03-14 06:00:00,0.0655,0.04585793324076629
early,18009,79,2026-03-14 07:00:00,0.0628,0.04183087882096987
early,18009,80,2026-03-14 08:00:00,0.0274,0.042577054451875894
early,18009,81,2026-03-14 09:00:00,0.0242,0.03840475270518709
early,18009,82,2026-03-14 10:00:00,0.026,0.03577004948436345
early,18009,83,2026-03-14 11:00:00,0.0227,0.03456404842246555
early,18009,84,2026-03-14 12:00:00,0.0162,0.03226731309051829
early,18009,85,2026-03-14 13:00:00,0.0119,0.03131876276262824
early,18009,86,2026-03-14 14:00:00,0.0118,0.030100275209913298
early,18009,87,2026-03-14 15:00:00,0.0116,0.029072388456984673
early,18009,88,2026-03-14 16:00:00,0.0114,0.02504530026637148
early,18009,89,2026-03-14 17:00:00,0.0114,0.02077006904333333
early,18009,90,2026-03-14 18:00:00,0.011,0.016868897407391618
early,18009,91,2026-03-14 19:00:00,0.0112,0.014945676946226092
early,18009,92,2026-03-14 20:00:00,0.0097,0.012901061540307433
early,18009,93,2026-03-14 21:00:00,0.0032,0.012054684237419453
early,18009,94,2026-03-14 22:00:00,0.0026,0.011421345502404876
early,18009,95,2026-03-14 23:00:00,0.0024,0.010175331797048943
early,18013,73,2026-03-14 01:00:00,0.0079,0.013573979511933355
early,18013,74,2026-03-14 02:00:00,0.0001,0.01425397617582382
early,18013,75,2026-03-14 03:00:00,0.0,0.014219985747630622
early,18013,76,2026-03-14 04:00:00,0.0,0.014902608236736734
early,18013,77,2026-03-14 05:00:00,0.0,0.014189200337229285
early,18013,78,2026-03-14 06:00:00,0.0,0.009451056149582438
early,18013,79,2026-03-14 07:00:00,0.0,0.00968702317015543
early,18013,80,2026-03-14 08:00:00,0.0001,0.00911883566796079
early,18013,81,2026-03-14 09:00:00,0.0001,0.007210162782820678
early,18013,82,2026-03-14 10:00:00,0.0001,0.005364307288701022
early,18013,83,2026-03-14 11:00:00,0.0001,0.0038319883594790678
early,18013,84,2026-03-14 12:00:00,0.0,0.003532726483795201
early,18013,85,2026-03-14 13:00:00,0.0,0.0030578661079984333
early,18013,86,2026-03-14 14:00:00,0.0,0.0030533185361891384
early,18013,87,2026-03-14 15:00:00,0.0,0.002522127569042585
early,18013,88,2026-03-14 16:00:00,0.0,0.0026832426813958596
early,18013,89,2026-03-14 17:00:00,0.0,0.002704942696023354
early,18013,90,2026-03-14 18:00:00,0.0,0.002633833507824648
early,18013,91,2026-03-14 19:00:00,0.0,0.0021782151180549576
early,18013,92,2026-03-14 20:00:00,0.0,0.0015900379914543425
early,18013,93,2026-03-14 21:00:00,0.0,0.0016519475707965864
early,18013,94,2026-03-14 22:00:00,0.0,0.0015455287113833019
early,18013,95,2026-03-14 23:00:00,0.0,0.0015042152178105655
early,18023,73,2026-03-14 01:00:00,0.0,0.0033776392738922036
early,18023,74,2026-03-14 02:00:00,0.0,0.0038034205679424622
early,18023,75,2026-03-14 03:00:00,0.0,0.0018110538934641676
early,18023,76,2026-03-14 04:00:00,0.0,0.0018715913651146533
early,18023,77,2026-03-14 05:00:00,0.0,0.001802072249462221
early,18023,78,2026-03-14 06:00:00,0.0,0.0011123626375361966
early,18023,79,2026-03-14 07:00:00,0.0,0.0012649571043629657
early,18023,80,2026-03-14 08:00:00,0.0,0.0
early,18023,81,2026-03-14 09:00:00,0.0,0.0
early,18023,82,2026-03-14 10:00:00,0.0,0.001036079987089815
early,18023,83,2026-03-14 11:00:00,0.0,0.0
early,18023,84,2026-03-14 12:00:00,0.0,0.0
early,18023,85,2026-03-14 13:00:00,0.0,0.0
