query_fips,window,variant,match_fips,rank,feature,query_value,match_value,transformed_scaled_difference
42053,early,context,54059,1,last_P_t,0.14316924,0.065360478,0.5643003278758396
42053,early,context,54059,1,last_D_t,0.054422759,0.023457829,0.5875065011410383
42053,early,context,54059,1,last_N_t,0.065400654,0.021710291,4.467654558134547
42053,early,context,54059,1,last_R_t,0.0,0.0,0.0
42053,early,context,54059,1,osi_max_72h,0.1083,0.0414,0.8166132919400041
42053,early,context,54059,1,osi_mean_72h,0.007994444444444445,0.003751388888888889,0.6961876618960732
42053,early,context,54059,1,osi_trend_last6h,0.019237142857142855,0.00838,1.754304361893456
42053,early,context,54059,1,gust_max,43.6,19.0,2.8263238000617648
42053,early,context,54059,1,gust_mean,23.575,8.612499999999999,3.363677641161874
42053,early,context,54059,1,gust_hours_gt30,6.0,0.0,1.7856403601475044
42053,early,context,54059,1,tp_sum,0.0,0.0,0.0
42053,early,context,54059,1,soil_mean,0.392375,0.31316666666666665,1.7086790179229423
42053,early,context,54059,1,prior24_gust_max,41.4,34.3,0.6657376816277173
42053,early,context,54059,1,prior24_tp_sum,4.5,0.0,3.4814611406600022
42053,early,context,54059,1,customers_at_cutoff,6866.0,13066.0,-0.5457359672252181
42053,early,context,54059,1,pop_density,16.320313542102692,55.70039644228176,-0.9917754809095649
42053,early,context,54059,1,pct_forest,82.9,80.52,0.08380070638112258
42053,early,context,54059,1,n_utilities,4.0,1.0,2.023387410074411
42053,early,context,42121,2,last_P_t,0.14316924,0.04648423,0.8069754156076088
42053,early,context,42121,2,last_D_t,0.054422759,0.05272252,0.02270606413789622
42053,early,context,42121,2,last_N_t,0.065400654,0.009032055,7.446810368549924
42053,early,context,42121,2,last_R_t,0.0,0.000942475,-0.21488062655232526
42053,early,context,42121,2,osi_max_72h,0.1083,0.0437,0.7713464019483467
42053,early,context,42121,2,osi_mean_72h,0.007994444444444445,0.007619444444444444,0.05632121001633905
42053,early,context,42121,2,osi_trend_last6h,0.019237142857142855,-0.0015057142857142856,4.2276418366387825
42053,early,context,42121,2,gust_max,43.6,43.8,-0.022978242276924465
42053,early,context,42121,2,gust_mean,23.575,21.791666666666668,0.4009061627449959
42053,early,context,42121,2,gust_hours_gt30,6.0,4.0,0.5952134533825015
42053,early,context,42121,2,tp_sum,0.0,0.0,0.0
42053,early,context,42121,2,soil_mean,0.392375,0.3972083333333334,-0.10426447452870302
42053,early,context,42121,2,prior24_gust_max,41.4,47.6,-0.5813483980411054
42053,early,context,42121,2,prior24_tp_sum,4.5,2.7,0.8095649869699935
42053,early,context,42121,2,customers_at_cutoff,6866.0,29709.0,-1.2424877994338202
42053,early,context,42121,2,pop_density,16.320313542102692,74.82817036979517,-1.2348799554386736
42053,early,context,42121,2,pct_forest,82.9,74.14,0.3084429360918619
42053,early,context,42121,2,n_utilities,4.0,4.0,0.0
42053,early,context,54083,3,last_P_t,0.14316924,0.043415601,0.8552318258004781
42053,early,context,54083,3,last_D_t,0.054422759,0.014291719,0.9030275303880411
42053,early,context,54083,3,last_N_t,0.065400654,0.009427731,7.324178437525608
42053,early,context,54083,3,last_R_t,0.0,0.0,0.0
42053,early,context,54083,3,osi_max_72h,0.1083,0.0242,1.2561240475900615
42053,early,context,54083,3,osi_mean_72h,0.007994444444444445,0.0011541666666666668,1.1757581919091753
42053,early,context,54083,3,osi_trend_last6h,0.019237142857142855,0.005194285714285713,2.468979311700534
42053,early,context,54083,3,gust_max,43.6,37.8,0.6663690260308229
42053,early,context,54083,3,gust_mean,23.575,21.34583333333333,0.5011327034312456
42053,early,context,54083,3,gust_hours_gt30,6.0,3.0,0.8928201800737523
42053,early,context,54083,3,tp_sum,0.0,0.0,0.0
42053,early,context,54083,3,soil_mean,0.392375,0.388125,0.09168083105109903
42053,early,context,54083,3,prior24_gust_max,41.4,44.2,-0.26254443782501563
42053,early,context,54083,3,prior24_tp_sum,4.5,0.0,3.4814611406600022
42053,early,context,54083,3,customers_at_cutoff,6866.0,16653.0,-0.7514892380070768
42053,early,context,54083,3,pop_density,16.320313542102692,26.8654397991074,-0.3976692000108122
42053,early,context,54083,3,pct_forest,82.9,83.95,-0.036970899874024354
42053,early,context,54083,3,n_utilities,4.0,1.0,2.023387410074411
42053,early,context,42031,4,last_P_t,0.14316924,0.061340942,0.6096837181575128
42053,early,context,42031,4,last_D_t,0.054422759,0.074439788,-0.225130337105808
42053,early,context,42031,4,last_N_t,0.065400654,0.007251545,8.02924530478582
42053,early,context,42031,4,last_R_t,0.0,0.006419401,-1.3801669158373655
42053,early,context,42031,4,osi_max_72h,0.1083,0.0528,0.6120861800744097
42053,early,context,42031,4,osi_mean_72h,0.007994444444444445,0.007831944444444445,0.02428010257583224
42053,early,context,42031,4,osi_trend_last6h,0.019237142857142855,-0.0002599999999999995,3.891352287046258
42053,early,context,42031,4,gust_max,43.6,38.4,0.5974342992000481
42053,early,context,42031,4,gust_mean,23.575,22.90416666666667,0.15080815935033676
42053,early,context,42031,4,gust_hours_gt30,6.0,6.0,0.0
42053,early,context,42031,4,tp_sum,0.0,0.0,0.0
42053,early,context,42031,4,soil_mean,0.392375,0.4728333333333334,-1.735643968232091
42053,early,context,42031,4,prior24_gust_max,41.4,47.1,-0.5344654627152099
42053,early,context,42031,4,prior24_tp_sum,4.5,5.3,-0.27733586594968296
42053,early,context,42031,4,customers_at_cutoff,6866.0,22432.0,-1.0041698764902702
42053,early,context,42031,4,pop_density,16.320313542102692,61.98201799134608,-1.079644453779044
42053,early,context,42031,4,pct_forest,82.9,59.3,0.8309649876447417
42053,early,context,42031,4,n_utilities,4.0,3.0,0.49275392259503487
42053,early,context,42063,5,last_P_t,0.14316924,0.102836717,0.23870437983293158
42053,early,context,42063,5,last_D_t,0.054422759,0.193012549,-0.9157257531121467
42053,early,context,42063,5,last_N_t,0.065400654,0.021062584,4.5833698671088605
42053,early,context,42063,5,last_R_t,0.0,0.035979253,-4.549029263262228
42053,early,context,42063,5,osi_max_72h,0.1083,0.2155,-0.5904119731258164
42053,early,context,42063,5,osi_mean_72h,0.007994444444444445,0.011866666666666668,-0.5243130604002535
