query_fips,window,variant,excluded_fold,match_fips,match_fold,rank,distance,is_focus,distance_history,distance_weather,distance_static,distance_terrain,distance_cache_history,distance_cache_weather_time,distance_cache_static
18009,early,context,0,39125,1,1,0.7329301379645883,False,1.1343452349222318,0.38625707095087064,0.4190777070664249,,,,
18009,early,context,0,39129,2,2,0.7843914637823093,False,1.0130252402280817,0.4669084227047684,0.7756199409709912,,,,
18009,early,context,0,54091,1,3,0.7874324492737111,False,0.35542391740038337,0.7893669771491129,1.0539085353263937,,,,
18009,early,context,0,18121,1,4,0.8189090598757879,False,0.9492887518350774,0.6699970782020801,0.8135053324226073,,,,
18009,early,context,0,39051,2,5,0.8339400727906443,False,0.4664083716592024,1.135928724125468,0.7605900995747271,,,,
18009,early,context,0,18035,1,6,0.8448954691476944,False,0.6667901002786513,0.3702847796209929,1.2489296239221517,,,,
18009,early,context,0,39121,1,7,0.8593765851930487,False,0.6226590004287175,0.6656424779831662,1.1767753422908456,,,,
18009,early,context,0,18073,2,8,0.8712029806514497,False,1.048366453587377,0.7654865096350482,0.7693777245588076,,,,
18009,early,context,0,18041,2,9,0.8742193678148606,False,1.305579396046268,0.34802902639946687,0.6834593964463034,,,,
18009,early,context,0,39065,3,10,0.8817423539137144,False,1.1357036606740702,0.3969314314862372,0.9407610588697306,,,,
18069,early,context,0,18169,3,1,0.23600767580181045,False,0.3297398196080187,0.13626546994851851,0.19950499286157758,,,,
18069,early,context,0,18041,2,2,0.3253691793749179,False,0.3014426225370717,0.3165317932003644,0.3557179751891331,,,,
18069,early,context,0,18177,1,3,0.34233765997959353,False,0.29323696704161206,0.26576688952539823,0.4415487084265367,,,,
18069,early,context,0,18183,1,4,0.36783004935334596,False,0.3231448016496738,0.23834749623987994,0.4946359710179074,,,,
18069,early,context,0,18181,2,5,0.4239929996013845,False,0.22821863656563735,0.21194590514000153,0.6650604321048169,,,,
18069,early,context,0,18023,3,6,0.4477941557719639,False,0.4143992301634473,0.4782151254456258,0.4484890072962149,,,,
18069,early,context,0,39129,2,7,0.46384709406445135,False,0.39037569486862683,0.4955571916555309,0.49748594620393866,,,,
18069,early,context,0,18145,4,8,0.4775955049593326,False,0.3125091583916015,0.7488197555183936,0.16093290135589325,,,,
18069,early,context,0,18139,2,9,0.48210056162601045,False,0.4968505697354101,0.43504713189781974,0.5110150280974362,,,,
18069,early,context,0,18109,2,10,0.48687603691220976,False,0.4106935364617796,0.38883954035130397,0.6255233464275509,,,,
18071,early,context,0,18173,3,1,0.3269907128025321,False,0.0701653727867905,0.4139772797198238,0.38009000396588916,,,,
18071,early,context,0,18175,4,2,0.41791752141939464,False,0.11036727147755868,0.4037350777069869,0.5905778666217713,,,,
18071,early,context,0,18077,2,3,0.4749113301458773,False,0.025342805114975532,0.7278502200198332,0.38237954174977,,,,
18071,early,context,0,18093,1,4,0.49987765844362153,False,0.03847444842267313,0.6857408846893821,0.5271737627359964,,,,
18071,early,context,0,18037,3,5,0.5421170640420183,False,0.07637580195253833,0.4460653679875988,0.822718152063517,,,,
18071,early,context,0,18117,4,6,0.5476597450488115,False,0.11202367323226384,0.5735387524907268,0.7471931377279368,,,,
18071,early,context,0,18083,2,7,0.5593827338717419,False,0.13054074536048166,0.7955094294481253,0.5374485931894513,,,,
18071,early,context,0,18051,1,8,0.5725800150002478,False,0.10426778936001584,0.8404964028810448,0.5159822144018645,,,,
18071,early,context,0,18129,4,9,0.5816995482563456,False,0.1885639824624886,0.8609006595722623,0.48827939971991435,,,,
18071,early,context,0,18029,1,10,0.6113699977806226,False,0.09786942274530466,0.7525376854371917,0.7385312658562064,,,,
18091,early,context,0,18099,3,1,0.4593148860717776,False,0.18363049928288497,0.2543432840896876,0.7310949509283873,,,,
18091,early,context,0,18113,1,2,0.5067106082692227,False,0.428926311338931,0.42873354300244054,0.6344105060159784,,,,
18091,early,context,0,18039,4,3,0.5120249534772473,False,0.2808350446944669,0.4268654640446673,0.7248628920199457,,,,
18091,early,context,0,18033,1,4,0.5398657019958047,False,0.35795131747743136,0.5385582185249379,0.6754190019163553,,,,
