split_seed,fipsCode,timestamp_et,hour_idx,fold,target_hour,official_D,K,U_raw,pred_U_raw,A_D,A_osi,B_D,B_osi,C_D,C_osi,actual_osi
42,18013,2026-03-14 00:00:00,72,1,73,0.031660581,0.03164497683333333,1.5604166666668973e-05,-0.008318167956661286,0.018414489136646183,0.01152009979387188,0.03164497683333333,0.014827721718043668,0.03164497683333333,0.014827721718043668,0.0079
42,18013,2026-03-14 01:00:00,73,1,74,0.000265269,0.00024966433333333335,1.560466666666665e-05,-0.005560690403818065,0.018219914078348234,0.012723597648511482,0.018219914078348234,0.012723597648511482,0.00024966433333333335,0.008231035212257758,0.0001
42,18013,2026-03-14 02:00:00,74,1,75,0.00015604,0.00014043616666666668,1.560383333333332e-05,-0.0024611622064373622,0.01650295887167135,0.01198474725558731,0.01650295887167135,0.01198474725558731,0.00014043616666666668,0.00789411657933614,0.0
42,18013,2026-03-14 03:00:00,75,1,76,4.68e-05,3.1208e-05,1.5592000000000003e-05,0.002707301641937286,0.015802086870567732,0.011604869048945901,0.015802086870567732,0.011604869048945901,0.002738509641937286,0.00833897474178829,0.0
42,39117,2026-03-14 00:00:00,72,4,73,0.825123821,0.5713243775,0.25379944350000005,0.2228615025540147,0.4073621213400394,0.24530780767678373,0.5713243775,0.28629837171677386,0.7941858800540147,0.3420137473552775,0.5087
42,39117,2026-03-14 01:00:00,73,4,74,0.808619988,0.42964244516666666,0.37897754283333335,0.2622725285397164,0.40675779729946976,0.2448707516496926,0.42964244516666666,0.2505919136164918,0.691914973706383,0.31616004575142087,0.5023
42,39117,2026-03-14 02:00:00,74,4,75,0.787943551,0.2837879095,0.5041556415,0.2970455030329095,0.39738029915912754,0.2413394543754957,0.39738029915912754,0.2413394543754957,0.5808334125329095,0.2872027327189412,0.4922
42,39117,2026-03-14 03:00:00,75,4,76,0.742570731,0.1373736345,0.6051970965,0.3269618384201526,0.3915991774552263,0.23853116542435393,0.3915991774552263,0.23853116542435393,0.4643354729201526,0.2567152392905855,0.4232
42,42053,2026-03-14 00:00:00,72,3,73,0.102549356,0.05061171,0.051937646,0.049985616131416936,0.12421982207422154,0.08389633677573301,0.12421982207422154,0.08389633677573301,0.10059732613141693,0.07799071279003186,0.1337
42,42053,2026-03-14 01:00:00,73,3,74,0.206522218,0.04908243533333334,0.15743978266666667,0.06714942634973613,0.12234544379270025,0.09284522489042277,0.12234544379270025,0.09284522489042277,0.11623186168306947,0.09131682936301508,0.3865
42,42053,2026-03-14 02:00:00,74,3,75,0.344221727,0.04769880583333334,0.2965229211666666,0.09284784410167755,0.11672475723271528,0.0894293515215461,0.11672475723271528,0.0894293515215461,0.1405466499350109,0.09538482469712001,0.5049
42,42053,2026-03-14 03:00:00,75,3,76,0.459758976,0.02386154,0.43589743599999997,0.11362928230601775,0.12994972956644096,0.08978970732349577,0.12994972956644096,0.08978970732349577,0.13749082230601775,0.09167498050838997,0.4887
20260917,18013,2026-03-14 00:00:00,72,0,73,0.031660581,0.03164497683333333,1.5604166666668973e-05,-0.010750801365610218,0.015717990969074117,0.013350352868676762,0.03164497683333333,0.017332099334741564,0.03164497683333333,0.017332099334741564,0.0079
20260917,18013,2026-03-14 01:00:00,73,0,74,0.000265269,0.00024966433333333335,1.560466666666665e-05,-0.007097075826683067,0.014354237835057081,0.013680447461427714,0.014354237835057081,0.013680447461427714,0.00024966433333333335,0.010154304085996779,0.0001
20260917,18013,2026-03-14 02:00:00,74,0,75,0.00015604,0.00014043616666666668,1.560383333333332e-05,-0.003269699627345556,0.01730007608590404,0.013902744620559243,0.01730007608590404,0.013902744620559243,0.00014043616666666668,0.0096128346407499,0.0
20260917,18013,2026-03-14 03:00:00,75,0,76,4.68e-05,3.1208e-05,1.5592000000000003e-05,0.005716293307402685,0.01523967055384527,0.012340704885932178,0.01523967055384527,0.012340704885932178,0.005747501307402684,0.00996766257432153,0.0
20260917,39117,2026-03-14 00:00:00,72,4,73,0.825123821,0.5713243775,0.25379944350000005,0.2557105976936975,0.40475410322647465,0.2383516491807084,0.5713243775,0.2799942177490898,0.8270349751936974,0.3439218671725141,0.5087
20260917,39117,2026-03-14 01:00:00,73,4,74,0.808619988,0.42964244516666666,0.37897754283333335,0.27811128180802686,0.4045107233626299,0.2344560766257239,0.42964244516666666,0.2407390070767331,0.7077537269746935,0.31026682752873985,0.5023
20260917,39117,2026-03-14 02:00:00,74,4,75,0.787943551,0.2837879095,0.5041556415,0.3040835598707122,0.40290176080522644,0.23379737245653767,0.40290176080522644,0.23379737245653767,0.5878714693707121,0.2800397995979091,0.4922
20260917,39117,2026-03-14 03:00:00,75,4,76,0.742570731,0.1373736345,0.6051970965,0.3248712594419736,0.3964246036639378,0.23449400810947646,0.3964246036639378,0.23449400810947646,0.4622448939419736,0.2509490806789854,0.4232
20260917,42053,2026-03-14 00:00:00,72,3,73,0.102549356,0.05061171,0.051937646,0.03170817844648106,0.12856851867353053,0.08165248447818418,0.12856851867353053,0.08165248447818418,0.08231988844648105,0.07009032692142181,0.1337
20260917,42053,2026-03-14 01:00:00,73,3,74,0.206522218,0.04908243533333334,0.15743978266666667,0.05559988547272382,0.12930896931800825,0.08497771168839857,0.12930896931800825,0.08497771168839857,0.10468232080605716,0.07882104956041079,0.3865
20260917,42053,2026-03-14 02:00:00,74,3,75,0.344221727,0.04769880583333334,0.2965229211666666,0.07985682958887219,0.12023505615588538,0.07683259470814638,0.12023505615588538,0.07683259470814638,0.12755563542220552,0.07866273952472642,0.5049
20260917,42053,2026-03-14 03:00:00,75,3,76,0.459758976,0.02386154,0.43589743599999997,0.10760484788181249,0.1271209961503171,0.07750225058222922,0.1271209961503171,0.07750225058222922,0.13146638788181247,0.07858859851510307,0.4887
20260918,18013,2026-03-14 00:00:00,72,2,73,0.031660581,0.03164497683333333,1.5604166666668973e-05,0.0019733953703433434,0.012932837630229805,0.009833187952794763,0.03164497683333333,0.014511222753570646,0.03361837220367667,0.015004571596156481,0.0079
20260918,18013,2026-03-14 01:00:00,73,2,74,0.000265269,0.00024966433333333335,1.560466666666665e-05,0.001400400480179609,0.011326295309878448,0.009275317396283669,0.011326295309878448,0.009275317396283669,0.0016500648135129423,0.006856259772192292,0.0001
20260918,18013,2026-03-14 02:00:00,74,2,75,0.00015604,0.00014043616666666668,1.560383333333332e-05,0.002141223079462448,0.009890209323680533,0.00967686552602512,0.009890209323680533,0.00967686552602512,0.002281659246129115,0.007774728006637265,0.0
20260918,18013,2026-03-14 03:00:00,75,2,76,4.68e-05,3.1208e-05,1.5592000000000003e-05,0.0025325024101433458,0.010111812576836392,0.009213085726343656,0.010111812576836392,0.009213085726343656,0.002563710410143346,0.007326060184670394,0.0
20260918,39117,2026-03-14 00:00:00,72,1,73,0.825123821,0.5713243775,0.25379944350000005,0.2212507320029402,0.4303272869446187,0.26776807220318855,0.5713243775,0.30301734484203385,0.7925751095029402,0.35833002784276896,0.5087
20260918,39117,2026-03-14 01:00:00,73,1,74,0.808619988,0.42964244516666666,0.37897754283333335,0.24138659789605355,0.4280032736888273,0.2647858078752518,0.42964244516666666,0.26519560074471166,0.6710290430627202,0.325542250218725,0.5023
20260918,39117,2026-03-14 02:00:00,74,1,75,0.787943551,0.2837879095,0.5041556415,0.27464244220511963,0.42542913138135074,0.2622294976756906,0.42542913138135074,0.2622294976756906,0.5584303517051197,0.2954798027566328,0.4922
20260918,39117,2026-03-14 03:00:00,75,1,76,0.742570731,0.1373736345,0.6051970965,0.31332996674971303,0.4178139579021847,0.25979233681608127,0.4178139579021847,0.25979233681608127,0.45070360124971304,0.26801474765296335,0.4232
20260918,42053,2026-03-14 00:00:00,72,2,73,0.102549356,0.05061171,0.051937646,0.05078201213855595,0.12614789732796391,0.08111863309771122,0.12614789732796391,0.08111863309771122,0.10139372213855595,0.07493008930035924,0.1337
20260918,42053,2026-03-14 01:00:00,73,2,74,0.206522218,0.04908243533333334,0.15743978266666667,0.06718592734359624,0.12082189823825133,0.08896395591576471,0.12082189823825133,0.08896395591576471,0.11626836267692958,0.08782557202543428,0.3865
20260918,42053,2026-03-14 02:00:00,74,2,75,0.344221727,0.04769880583333334,0.2965229211666666,0.09559473554061357,0.112485836173183,0.08432019168208431,0.112485836173183,0.08432019168208431,0.1432935413739469,0.09202211798227529,0.5049
20260918,42053,2026-03-14 03:00:00,75,2,76,0.459758976,0.02386154,0.43589743599999997,0.11676353734220841,0.11711479519751428,0.08230489926144881,0.11711479519751428,0.08230489926144881,0.14062507734220842,0.08818246979762236,0.4887
