split_seed,fipsCode,fold,horizon,target_hour,donor_fipsCode,donor_fold,rank,distance,query_true_N,donor_true_N,query_pred_N,donor_pred_N,query_true_OSI,donor_true_OSI,query_pred_OSI,donor_pred_OSI,donor_countyName,donor_stateAbbr
42,18013,1,1,73,54109,3,1,1.2751990998015925,0.0,0.0,0.002152521239802685,0.0003484223677549297,0.0079,0.0,0.011842294375910903,0.0,Wyoming County,WV
42,18013,1,1,73,54035,0,2,1.508575187538773,0.0,0.0,0.002152521239802685,0.0,0.0079,0.0024,0.011842294375910903,0.0015980665387762025,Jackson County,WV
42,18013,1,1,73,54015,2,3,1.5994703236420884,0.0,0.0,0.002152521239802685,0.005052643007879047,0.0079,0.0,0.011842294375910903,0.006412105686309739,Clay County,WV
42,18013,1,1,73,18101,4,4,1.667137905728155,0.0,0.0,0.002152521239802685,7.437072954286334e-06,0.0079,0.0,0.011842294375910903,0.0,Martin County,IN
42,18013,1,1,73,54087,0,5,1.9959039693101317,0.0,0.0,0.002152521239802685,0.0003870799555160009,0.0079,0.0004,0.011842294375910903,0.0,Roane County,WV
42,18013,1,1,74,54109,3,1,1.2420659024384049,0.0,0.0,0.0030613233296439236,0.0015185500114362196,0.0001,0.0,0.004168293500318981,0.0,Wyoming County,WV
42,18013,1,1,74,54035,0,2,1.6341537545665221,0.0,0.0,0.0030613233296439236,0.0,0.0001,0.0016,0.004168293500318981,0.0,Jackson County,WV
42,18013,1,1,74,18101,4,3,1.654948911537999,0.0,0.0,0.0030613233296439236,4.2061851387257486e-06,0.0001,0.0,0.004168293500318981,0.0,Martin County,IN
42,18013,1,1,74,54015,2,4,1.9242587971123628,0.0,0.0,0.0030613233296439236,0.005428725600237282,0.0001,0.0,0.004168293500318981,0.005993382505556935,Clay County,WV
42,18013,1,1,74,54043,2,5,2.128160393603946,0.0,0.0,0.0030613233296439236,0.0,0.0001,0.0,0.004168293500318981,0.0,Lincoln County,WV
42,18013,1,1,75,54109,3,1,1.1977971783664112,0.0,0.0,0.002373812327716223,2.498639324614167e-05,0.0,0.0,0.004118413944156081,0.0,Wyoming County,WV
42,18013,1,1,75,18101,4,2,1.6410379354907245,0.0,0.0,0.002373812327716223,8.840136260616123e-06,0.0,0.0,0.004118413944156081,0.0,Martin County,IN
42,18013,1,1,75,54047,3,3,2.0580010273203078,0.0,0.0,0.002373812327716223,0.0,0.0,0.0,0.004118413944156081,0.0,McDowell County,WV
42,18013,1,1,75,54015,2,4,2.073531357438131,0.0,0.0,0.002373812327716223,0.004728815686797035,0.0,0.0,0.004118413944156081,0.004631087844008774,Clay County,WV
42,18013,1,1,75,54035,0,5,2.131436051322534,0.0,0.0,0.002373812327716223,0.0,0.0,0.0015,0.004118413944156081,0.0014084521076536257,Jackson County,WV
42,18013,1,1,76,54109,3,1,1.2535252949308426,0.0,0.0,0.0023481643017320203,0.0003877562469977904,0.0,0.0,0.004860840901066212,0.0,Wyoming County,WV
42,18013,1,1,76,54015,2,2,1.440580560519056,0.0,0.0,0.0023481643017320203,0.0025090163736865064,0.0,0.0,0.004860840901066212,0.006942520005381606,Clay County,WV
42,18013,1,1,76,18101,4,3,1.640409366550166,0.0,0.0,0.0023481643017320203,2.6428864957184214e-05,0.0,0.0,0.004860840901066212,0.0,Martin County,IN
42,18013,1,1,76,54035,0,4,1.865282514369872,0.0,0.0,0.0023481643017320203,0.0,0.0,0.0015,0.004860840901066212,0.0010527393286993477,Jackson County,WV
42,18013,1,1,76,54047,3,5,2.0636245358529877,0.0,0.0,0.0023481643017320203,0.0,0.0,0.0,0.004860840901066212,0.0,McDowell County,WV
