kind,split_seed,horizon,space,fipsCode,low_activity,true_peak,pred_peak,true_peak_hour,pred_peak_hour,peak_hour_difference,prediction_at_true_peak,amplitude_ratio,true_peak_ties,prediction_peak_ties,lag,common_start,common_end,correlation,n,rmse,mae,sse,bias
peak,42,1,model_raw,18009,False,0.004549404,0.005605871197102229,111.0,120.0,9.0,0.0031245439334259915,0.6868029160360327,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18013,False,0.080875238,0.011449220294208775,108.0,109.0,1.0,0.009951635723370506,0.12304922952276821,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18023,True,0.000935148,0.0056949059016070825,108.0,120.0,,0.0025415923425452583,,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18025,False,0.096087999,0.02292259070478859,108.0,108.0,0.0,0.02292259070478859,0.23855831054186688,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18027,False,0.005195599,0.010453134450277301,118.0,108.0,-10.0,0.005133738700629609,0.9880937117413426,2.0,1.0,,,,,,,,,
peak,42,1,model_raw,18029,False,0.008549904,0.006479319245938158,110.0,110.0,0.0,0.006479319245938158,0.7578236253808414,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18033,False,0.013360917,0.002602751727143125,121.0,110.0,-11.0,0.0006983624506059841,0.052269050889694475,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18035,False,0.009164726,0.0031572310143260884,110.0,109.0,-1.0,0.0024632844928999496,0.26877884760547666,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18037,False,0.008871778,0.010270927020430202,201.0,109.0,-92.0,-2.328352291805776e-05,-0.002624448325697257,2.0,1.0,,,,,,,,,
peak,42,1,model_raw,18039,False,0.003080741,0.002015603266522344,116.0,120.0,4.0,0.0007985873076473905,0.25921922928522406,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18041,False,0.014678638,0.00688925870909067,108.0,110.0,2.0,0.004006249617553209,0.27293060960786747,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18043,False,0.007448231,0.005572932135538873,113.0,109.0,-4.0,0.0016011154519386427,0.21496586933711412,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18045,False,0.004766827,0.01209894390140658,111.0,118.0,7.0,0.002751783382821985,0.5772777956535835,2.0,1.0,,,,,,,,,
peak,42,1,model_raw,18047,False,0.028861266,0.0126114396762043,113.0,109.0,-4.0,0.002044504658604072,0.0708390497701685,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18051,False,0.010716329,0.006237912506170378,108.0,108.0,0.0,0.006237912506170378,0.5820941580060092,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18059,False,0.008774032,0.0023125726726286153,109.0,108.0,-1.0,0.002257672063980044,0.2573129507597014,1.0,1.0,,,,,,,,,
peak,42,1,model_raw,18061,False,0.023479709,0.015180161975596608,108.0,108.0,0.0,0.015180161975596608,0.6465225772430402,1.0,1.0,,,,,,,,,
