fipsCode,countyName,target_hour,known_D_lower_bound,actual_D,predicted_D,gap,violates_lower_bound
18009,Blackford County,73,0.07493480583333334,0.110165158,0.10552579951553306,-0.030590993682199724,False
18009,Blackford County,74,0.05650150833333334,0.108528915,0.09246407495289481,-0.03596256661956147,False
18009,Blackford County,75,0.03765915016666666,0.106483612,0.08783900491721043,-0.05017985475054377,False
18009,Blackford County,76,0.018816792,0.104463875,0.08583017352343844,-0.06701338152343844,False
18013,Brown County,73,0.03164497683333333,0.031660581,0.018414489136646183,0.013230487696687148,True
18013,Brown County,74,0.00024966433333333335,0.000265269,0.018219914078348234,-0.0179702497450149,False
18013,Brown County,75,0.00014043616666666668,0.00015604,0.01650295887167135,-0.016362522705004684,False
18013,Brown County,76,3.1208e-05,4.68e-05,0.015802086870567732,-0.01577087887056773,False
18023,Clinton County,73,0.0,0.0,0.002573237942511179,-0.002573237942511179,False
18023,Clinton County,74,0.0,0.0,0.007510452868295658,-0.007510452868295658,False
18023,Clinton County,75,0.0,0.0,0.0032376367865629423,-0.0032376367865629423,False
18023,Clinton County,76,0.0,0.0,0.0034152116908968888,-0.0034152116908968888,False
18025,Crawford County,73,0.000577812,0.000577812,0.0006112870769163845,-3.3475076916384436e-05,False
18025,Crawford County,74,0.0,0.0,4.9716117693856535e-05,-4.9716117693856535e-05,False
18025,Crawford County,75,0.0,0.0,4.915708912996468e-05,-4.915708912996468e-05,False
18025,Crawford County,76,0.0,0.0,2.6636535706172214e-07,-2.6636535706172214e-07,False
18027,Daviess County,73,0.0,0.0,0.00013670115803284053,-0.00013670115803284053,False
18027,Daviess County,74,0.0,0.0,0.00013820273689816264,-0.00013820273689816264,False
18027,Daviess County,75,0.0,0.0,0.0002516088257769117,-0.0002516088257769117,False
18027,Daviess County,76,0.0,0.0,0.00015762752751588837,-0.00015762752751588837,False
18029,Dearborn County,73,8.066666666666667e-06,8.07e-06,0.0008672556115749764,-0.0008591889449083097,False
