fipsCode,countyName,horizon,target_timestamp,actual_osi,primary_prediction,C1_prediction,actual_P_t,pred_C1_P_t,weighted_error_P_t,actual_N_t,pred_C1_N_t,weighted_error_N_t,actual_D_t,pred_C1_D_t,weighted_error_D_t,actual_R_t,pred_C1_R_t,weighted_error_R_t
18013,Brown County,1,2026-03-15 13:00:00,0.1379,0.013272016675004676,0.014493425484255695,0.242625714,0.021501232410083584,-0.08844979263596657,0.058151512,0.011449220294208775,-0.016345802097026928,0.086290851,0.009873295074166864,-0.019104388981458283,0.010269376,0.005826183512925262,0.00044431924870747387
39115,Morgan County,1,2026-03-18 11:00:00,0.3277,0.0,0.0,0.612899491,0.00022187297030499878,-0.245071047211878,0.204145438,0.00235118105824538,-0.07062798992961411,0.104060522,0.00028237850543195406,-0.02594453587364201,0.149065926,0.00033013986065643286,0.014873578613934355
39117,Morrow County,1,2026-03-14 01:00:00,0.5087,0.24530780767678373,0.24530780767678373,0.7618563,0.3592742788502163,-0.16103280845991352,0.000305312,0.0015848838335655842,0.00044785014174795443,0.825123821,0.4073621213400394,-0.10444042491499016,0.024696384,0.007971435400606108,0.0016724948599393893
39119,Muskingum County,1,2026-03-14 01:00:00,0.191,0.2125999036734029,0.2125999036734029,0.288963643,0.31100145325165296,0.008815124100661187,0.00028961,0.0007819373863665775,0.00017231458522830212,0.305459307,0.35315315300010924,0.011923461500027308,0.010841799,0.003626439625138892,0.0007215359374861107
42053,Forest County,1,2026-03-14 05:00:00,0.5447,0.08735760065227259,0.08735760065227259,0.969405594,0.13027545915256034,-0.3356520539389759,0.04496892,0.005233460735071458,-0.01390741074272499,0.597465035,0.1382343974781223,-0.11480765938046944,0.081827894,0.011428936355571259,0.0070398957644428745
54007,Braxton County,1,2026-03-17 11:00:00,0.1154,0.024808294580296215,0.01764067571753402,0.186941754,0.024413493638544434,-0.06501130414458223,0.029605401,0.000831774304045725,-0.010070769343583995,0.121398918,0.030985169452181417,-0.022603437136954646,0.000670944,0.0016213510734511328,-9.504070734511328e-05
54013,Calhoun County,1,2026-03-16 21:00:00,0.191,0.038915496507603835,0.03369227033048048,0.328919861,0.05492527128849059,-0.10959783588460376,0.065350368,0.013518460330131061,-0.018141167684454132,0.146186605,0.02835500604679516,-0.029457899738301208,0.0,0.0009805081216041473,-9.805081216041474e-05
54015,Clay County,1,2026-03-17 08:00:00,0.1817,0.03970621272405572,0.03227147496409821,0.291515779,0.05552639895315187,-0.09439575201873925,0.041041559,0.002947733543692625,-0.01333283890970758,0.204474909,0.0365936883437272,-0.0419703051640682,0.00344887,0.0011921344338674785,0.00022567355661325217
18013,Brown County,6,2026-03-15 13:00:00,0.1379,0.013272016675004676,0.01134025946655965,0.242625714,0.017336906145138824,-0.09011552314194447,0.058151512,0.00697953194590152,-0.017910193018934466,0.086290851,0.009517664580019373,-0.019193296604995157,0.010269376,0.0041675531756625635,0.0006101822824337437
39115,Morgan County,6,2026-03-18 11:00:00,0.3277,0.0,0.0,0.612899491,0.000261609924953827,-0.24505515243001846,0.204145438,0.00013016929313368084,-0.07140534404740322,0.104060522,0.0004057151404060919,-0.025913701714898478,0.149065926,0.00015506777206616496,0.014891085822793382
