fipsCode,countyName,stateAbbr,time,hour,outageCount,customersTracked,P_t,N_t,D_t,R_t,osi,gust,wind_speed_10m,tp,rain,soil_moist
18013,Brown County,IN,2026-03-11 00:00:00,0,0,10682,0.0,0.0,0.0,0.0,0.0,22.9,8.0,0.0,0.0,0.441
18013,Brown County,IN,2026-03-11 01:00:00,1,0,10682,0.0,0.0,0.0,0.0,0.0,30.4,12.2,0.0,0.0,0.442
18013,Brown County,IN,2026-03-11 02:00:00,2,0,10682,0.0,0.0,0.0,0.0,0.0,27.4,11.3,0.0,0.0,0.422
18013,Brown County,IN,2026-03-11 03:00:00,3,0,10682,0.0,0.0,0.0,0.0,0.0,29.5,11.1,0.0,0.0,0.423
18013,Brown County,IN,2026-03-11 04:00:00,4,0,10682,0.0,0.0,0.0,0.0,0.0,29.6,11.3,1.6,1.6,0.445
18013,Brown County,IN,2026-03-11 05:00:00,5,0,10682,0.0,0.005336079,0.0,0.0,0.0019,35.5,12.7,0.0,0.0,0.445
18013,Brown County,IN,2026-03-11 06:00:00,6,171,10682,0.016008238,0.005336079,0.00266804,0.0,0.0089,41.7,18.5,5.1,5.1,0.514
18013,Brown County,IN,2026-03-11 07:00:00,7,171,10682,0.016008238,0.005336079,0.005336079,0.005304874,0.0091,27.3,13.6,4.6,4.6,0.515
18013,Brown County,IN,2026-03-11 08:00:00,8,1,10682,9.36e-05,0.013792673,0.005351682,0.005304874,0.0057,45.9,10.8,2.3,2.3,0.501
18013,Brown County,IN,2026-03-11 09:00:00,9,443,10682,0.041471635,0.014572802,0.012263621,0.005304874,0.0242,31.1,8.8,3.1,3.1,0.509
18013,Brown County,IN,2026-03-11 10:00:00,10,468,10682,0.04381202,0.014572802,0.019565624,0.002371591,0.0273,26.0,7.3,0.3,0.3,0.506
18013,Brown County,IN,2026-03-11 11:00:00,11,392,10682,0.036697248,0.000780129,0.025681832,0.006053798,0.0208,27.1,9.6,0.5,0.5,0.506
18013,Brown County,IN,2026-03-11 12:00:00,12,274,10682,0.025650627,0.0,0.027288897,0.010079261,0.0161,21.1,5.7,0.1,0.1,0.503
18013,Brown County,IN,2026-03-11 13:00:00,13,145,10682,0.013574237,0.000686513,0.02688323,0.00770767,0.0116,23.7,4.8,0.1,0.1,0.5
18013,Brown County,IN,2026-03-11 14:00:00,14,167,10682,0.015633776,0.000686513,0.029473257,0.00655308,0.0132,20.8,6.1,3.7,3.7,0.525
18013,Brown County,IN,2026-03-11 15:00:00,15,86,10682,0.008050927,0.000686513,0.023903139,0.002777258,0.0092,17.4,8.1,4.3,4.3,0.52
