focus_fips,neighbor_fips,countyName,split,distance_km,observed_last_P,future_peak_osi_diagnostic_train_only
42053,42123,Warren County,test,35.919324341341266,0.149524973,
42053,42031,Clarion County,train,37.826981125925705,0.061340942,0.0161
42053,42121,Venango County,train,44.79495704291431,0.04648423,0.0161
42053,42065,Jefferson County,train,46.194062916019426,0.040427868,0.012
42053,42047,Elk County,train,50.550412611200315,0.000453766,0.0088
42053,42083,McKean County,train,65.47704309777315,0.000185753,0.0203
54015,54067,Nicholas County,train,31.064913786087853,0.000975814,0.0341
54015,54087,Roane County,train,39.40025837080024,0.0,0.0846
54015,54007,Braxton County,train,40.44696515941778,0.0,0.1154
54015,54039,Kanawha County,train,41.18378433490951,0.000196602,0.015
54015,54013,Calhoun County,train,42.83545529681046,0.000697674,0.191
54015,54019,Fayette County,train,47.68848175073383,0.0,0.0355
54013,54087,Roane County,train,23.574316493544593,0.0,0.0846
54013,54021,Gilmer County,test,24.372014024333012,0.005426739,
54013,54105,Wirt County,train,30.295393384966935,0.000253485,0.0191
54013,54007,Braxton County,train,36.96642930972767,0.0,0.1154
54013,54085,Ritchie County,train,37.26551282912957,0.03903577,0.0712
54013,54015,Clay County,train,42.83545529681046,0.0,0.1817
39115,39127,Perry County,train,34.77835706666938,0.247118312,0.0024
39115,39009,Athens County,test,36.131865733432214,0.005373636,
39115,39167,Washington County,train,37.255983241909256,0.008703856,0.0236
39115,39121,Noble County,train,38.41959807929642,0.185743381,0.0093
39115,39119,Muskingum County,train,38.56719181709779,0.320568513,0.0168
39115,54107,Wood County,train,54.70938678609484,0.001235903,0.0027
