fipsCode,timestamp_et,hour_idx,fold,target_hour,official_D,K,U_raw,pred_U_raw,A_D,A_osi,B_D,B_osi,C_D,C_osi,actual_osi
18013,2026-03-14 00:00:00,72,1,73,0.031660581,0.03164497683333333,1.5604166666668973e-05,-0.008318167956661286,0.018414489136646183,0.01152009979387188,0.03164497683333333,0.014827721718043668,0.03164497683333333,0.014827721718043668,0.0079
18013,2026-03-14 01:00:00,73,1,74,0.000265269,0.00024966433333333335,1.560466666666665e-05,-0.005560690403818065,0.018219914078348234,0.012723597648511482,0.018219914078348234,0.012723597648511482,0.00024966433333333335,0.008231035212257758,0.0001
18013,2026-03-14 02:00:00,74,1,75,0.00015604,0.00014043616666666668,1.560383333333332e-05,-0.0024611622064373622,0.01650295887167135,0.01198474725558731,0.01650295887167135,0.01198474725558731,0.00014043616666666668,0.00789411657933614,0.0
18013,2026-03-14 03:00:00,75,1,76,4.68e-05,3.1208e-05,1.5592000000000003e-05,0.002707301641937286,0.015802086870567732,0.011604869048945901,0.015802086870567732,0.011604869048945901,0.002738509641937286,0.00833897474178829,0.0
39117,2026-03-14 00:00:00,72,4,73,0.825123821,0.5713243775,0.25379944350000005,0.2228615025540147,0.4073621213400394,0.24530780767678373,0.5713243775,0.28629837171677386,0.7941858800540147,0.3420137473552775,0.5087
39117,2026-03-14 01:00:00,73,4,74,0.808619988,0.42964244516666666,0.37897754283333335,0.2622725285397164,0.40675779729946976,0.2448707516496926,0.42964244516666666,0.2505919136164918,0.691914973706383,0.31616004575142087,0.5023
39117,2026-03-14 02:00:00,74,4,75,0.787943551,0.2837879095,0.5041556415,0.2970455030329095,0.39738029915912754,0.2413394543754957,0.39738029915912754,0.2413394543754957,0.5808334125329095,0.2872027327189412,0.4922
39117,2026-03-14 03:00:00,75,4,76,0.742570731,0.1373736345,0.6051970965,0.3269618384201526,0.3915991774552263,0.23853116542435393,0.3915991774552263,0.23853116542435393,0.4643354729201526,0.2567152392905855,0.4232
42053,2026-03-14 00:00:00,72,3,73,0.102549356,0.05061171,0.051937646,0.049985616131416936,0.12421982207422154,0.08389633677573301,0.12421982207422154,0.08389633677573301,0.10059732613141693,0.07799071279003186,0.1337
42053,2026-03-14 01:00:00,73,3,74,0.206522218,0.04908243533333334,0.15743978266666667,0.06714942634973613,0.12234544379270025,0.09284522489042277,0.12234544379270025,0.09284522489042277,0.11623186168306947,0.09131682936301508,0.3865
42053,2026-03-14 02:00:00,74,3,75,0.344221727,0.04769880583333334,0.2965229211666666,0.09284784410167755,0.11672475723271528,0.0894293515215461,0.11672475723271528,0.0894293515215461,0.1405466499350109,0.09538482469712001,0.5049
42053,2026-03-14 03:00:00,75,3,76,0.459758976,0.02386154,0.43589743599999997,0.11362928230601775,0.12994972956644096,0.08978970732349577,0.12994972956644096,0.08978970732349577,0.13749082230601775,0.09167498050838997,0.4887
