target_fips,neighbor_fips,rank,distance_km,weight,target_fold,neighbor_fold,neighbor_is_test,same_outer_fold
18001,18179,1,24.048631082258865,0.125,,0.0,False,False
18001,39161,2,31.929277490395986,0.125,,3.0,False,False
18001,39107,3,34.56745853904534,0.125,,3.0,False,False
18001,18075,4,34.697686381578066,0.125,,,True,False
18001,18003,5,39.90617831789337,0.125,,,True,False
18001,18009,6,44.601560536623495,0.125,,0.0,False,False
18001,18069,7,47.3500289603815,0.125,,0.0,False,False
18001,39125,8,50.97799422339974,0.125,,1.0,False,False
18003,18033,1,34.576937595835794,0.125,,1.0,False,False
18003,18183,2,37.14648891694708,0.125,,1.0,False,False
18003,18001,3,39.90617831789337,0.125,,,True,False
18003,39125,4,40.855190809036074,0.125,,1.0,False,False
18003,18179,5,42.268082343231605,0.125,,0.0,False,False
18003,18113,6,45.078982951736535,0.125,,1.0,False,False
18003,18069,7,45.826836008279,0.125,,0.0,False,False
18003,39161,8,48.080920945275906,0.125,,3.0,False,False
18005,18013,1,28.430280686069,0.125,,1.0,False,False
18005,18079,2,32.88310887505384,0.125,,,True,False
18005,18071,3,35.42606713138502,0.125,,0.0,False,False
18005,18031,4,35.93058606801749,0.125,,,True,False
18005,18081,5,36.12429858567877,0.125,,,True,False
18005,18145,6,36.48089447920382,0.125,,4.0,False,False
18005,18105,7,54.13509692921104,0.125,,3.0,False,False
18005,18137,8,55.95213663158206,0.125,,0.0,False,False
18007,18171,1,29.066099450217486,0.125,,0.0,False,False
18007,18111,2,39.5517200564769,0.125,,2.0,False,False
18007,18181,3,40.820834735971,0.125,,2.0,False,False
18007,18157,4,42.755852667206064,0.125,,1.0,False,False
18007,18073,5,49.14670234178198,0.125,,2.0,False,False
18007,18045,6,54.289759859495014,0.125,,3.0,False,False
18007,18015,7,63.15943984518992,0.125,,,True,False
18007,18131,8,70.69563723203129,0.125,,4.0,False,False
18009,18075,1,27.285809554558934,0.125,0.0,,True,False
18009,18035,2,28.028039976552968,0.125,0.0,1.0,False,False
18009,18053,3,28.298461363041774,0.125,0.0,,True,False
18009,18179,4,29.736849638920045,0.125,0.0,0.0,False,True
18009,18069,5,41.87212708568601,0.125,0.0,0.0,False,True
18009,18135,6,44.04457697467649,0.125,0.0,0.0,False,True
18009,18001,7,44.601560536623495,0.125,0.0,,True,False
18009,18095,8,48.17987333622504,0.125,0.0,0.0,False,True
18011,18023,1,27.904310701991896,0.125,,3.0,False,False
18011,18063,2,31.47690116921493,0.125,,,True,False
18011,18057,3,35.54455626636621,0.125,,,True,False
18011,18107,4,36.16188300962121,0.125,,1.0,False,False
18011,18097,5,41.104098564252176,0.125,,1.0,False,False
18011,18159,6,45.754440055261824,0.125,,0.0,False,False
18011,18157,7,52.10988345517616,0.125,,1.0,False,False
18011,18133,8,53.47530384550083,0.125,,4.0,False,False
18013,18105,1,25.788707143140424,0.125,1.0,3.0,False,False
