fipsCode,timestamp_et,hour_idx,fold,actual_osi_target_t01h,pred_F0_v18_rule_osi_target_t01h,pred_F1_v18_rule_osi_target_t01h,pred_F2_v18_rule_osi_target_t01h,official_P,p71,F0_pred_P,F0_a_P_contribution,F0_b_P_contribution,F1_pred_P,F1_a_P_contribution,F1_b_P_contribution,F2_pred_P,F2_a_P_contribution,F2_b_P_contribution
18013,2026-03-14 00:00:00,72,1,0.0079,0.010342502953505375,0.009609840310286815,0.011842294375910903,0.0,0.000187248,0.005279862159985013,0.0001161278658975626,0.00516373429408745,0.0034482055519386113,0.00011932669315137319,0.0033288788587872383,0.009029340715998832,0.00011324477643947965,0.008916095939559353
18013,2026-03-14 01:00:00,73,1,0.0001,0.00283625866082163,0.002108028696953502,0.004168293500318981,0.0,0.000187248,0.005250152665082329,0.00011788887968395448,0.0051322637853983746,0.0034295777554120095,9.506839494069825e-05,0.003334509360471311,0.008580239763825704,0.00010435842729042988,0.008475881336535275
18013,2026-03-14 02:00:00,74,1,0.0,0.0027454669758372467,0.0016788677257928632,0.004118413944156081,0.0,0.000187248,0.005328036185165543,0.0001113732934647706,0.005216662891700773,0.0026615380600545856,8.70770787247864e-05,0.0025744609813297993,0.008760403605962629,9.664184212960794e-05,0.008663761763833022
18013,2026-03-14 03:00:00,75,1,0.0,0.003501104865015312,0.002524810829415328,0.004860840901066212,0.0,0.000187248,0.005118378931702741,0.0001059421719528496,0.005012436759749891,0.0026776438427027808,8.789863712425662e-05,0.0025897452055785243,0.008517719021829993,9.991181870401624e-05,0.008417807203125977
18013,2026-03-14 04:00:00,76,1,0.0,0.006819924638173212,0.005897548950769271,0.008385607607425983,0.0,0.000187248,0.004897059636201525,0.00010692802682529489,0.0047901316093762305,0.002591120417691671,8.735372832953185e-05,0.002503766689362139,0.008811267059333449,9.465687300511284e-05,0.008716610186328336
18013,2026-03-14 05:00:00,77,1,0.0,0.008726043870667576,0.00828029501868688,0.009490497617348256,0.0,0.000187248,0.004878130455117404,9.925217954609519e-05,0.004778878275571309,0.0026493861952139233,7.56822878826035e-05,0.0025737039073313196,0.008700399188520799,9.322306358158252e-05,0.008607176124939216
18013,2026-03-14 06:00:00,78,1,0.0,0.009291471596832062,0.008810434490912816,0.009995069800095796,0.0,0.000187248,0.004873586862806683,0.00010093439138669453,0.004772652471419989,0.002468401333210457,6.677799360574585e-05,0.002401623339604711,0.00839157787912535,8.304549609506165e-05,0.008308532383030288
18013,2026-03-14 07:00:00,79,1,0.0001,0.00924932439805025,0.008753827926012842,0.010174824528849049,9.36e-05,0.000187248,0.005070912969119642,8.901095820394215e-05,0.0049819020109157,0.002593430608932594,6.689952857329682e-05,0.002526531080359297,0.009698413623113631,7.905387467133475e-05,0.009619359748442297
18013,2026-03-14 08:00:00,80,1,0.0001,0.008031163559206186,0.007659061208150555,0.007888567703045638,9.36e-05,0.000187248,0.0026398018128154592,8.451568990394377e-05,0.0025552861229115155,0.0007792900575373076,5.8847386539637755e-05,0.0007204426709976698,0.00192682253201272,6.81754192992118e-05,0.0018586471127135082
18013,2026-03-14 09:00:00,81,1,0.0001,0.004235893158398361,0.00440248010461186,0.004405689204260405,0.000187266,0.000187248,6.759517217518902e-05,6.759517217518902e-05,0.0,0.0009005299032426826,3.991215879341275e-05,0.0008606177444492699,0.000916575401485408,5.6419461305106645e-05,0.0008601559401803013
