cv_seed,fipsCode,countyName,stateAbbr,fold,hour_idx,horizon,target_hour,target_day,truth,T,S,osi,P_t,N_t,D_t,R_t,outageCount,customersTracked,gust,tp,soil_moist,eT,eS,T_sse,S_sse,direction,common_score,P_pred,P_true,e_P,N_pred,N_true,e_N,D_pred,D_true,e_D,R_pred,R_true,e_R,e_remainder
42,18013,Brown County,IN,1,72,1,73,3,0.0079,0.011842294375910903,,0.0079,0.0,0.0,0.031660581,6.24e-05,0,10681,8.9,0.0,0.442,0.003942294375910902,,1.5541684946338728e-05,,short_T_only,,0.009029340715998832,0.0,0.003611736286399533,0.002152521239802685,0.0,0.0007533824339309398,0.03164497683333333,0.031660581,-3.901041666667243e-06,0.004340685527529021,6.24e-05,-0.00042782855275290215,8.905249999999025e-06
42,18013,Brown County,IN,1,73,1,74,3,0.0001,0.004168293500318981,,0.0001,0.0,0.0,0.000265269,3.12e-05,0,10681,9.7,0.0,0.434,0.00406829350031898,,1.6551012004737663e-05,,short_T_only,,0.008580239763825704,0.0,0.003432095905530282,0.0030613233296439236,0.0,0.0010714631653753733,0.00024966433333333335,0.000265269,-3.901166666666662e-06,0.003976816539200084,3.12e-05,-0.0003945616539200084,-3.6802750000000314e-05
42,18013,Brown County,IN,1,74,1,75,3,0.0,0.004118413944156081,,0.0,0.0,0.0,0.00015604,0.0,0,10681,6.7,0.0,0.434,0.004118413944156081,,1.696133341541925e-05,,short_T_only,,0.008760403605962629,0.0,0.0035041614423850518,0.002373812327716223,0.0,0.000830834314700678,0.00014043616666666668,0.00015604,-3.90095833333333e-06,0.002516908545963157,0.0,-0.0002516908545963157,3.900999999999991e-05
42,18013,Brown County,IN,1,75,1,76,3,0.0,0.004860840901066212,,0.0,0.0,0.0,4.68e-05,0.0,0,10681,7.2,0.0,0.435,0.004860840901066212,,2.3627774265478184e-05,,short_T_only,,0.008517719021829993,0.0,0.003407087608731997,0.0023481643017320203,0.0,0.000821857505606207,0.002738509641937286,4.68e-05,0.0006729274104843215,0.000527316237563131,0.0,-5.27316237563131e-05,1.1699999999999905e-05
42,18013,Brown County,IN,1,76,1,77,3,0.0,0.008385607607425983,,0.0,0.0,0.0,1.56e-05,0.0,0,10681,5.3,0.0,0.435,0.008385607607425983,,7.031841494572051e-05,,short_T_only,,0.008811267059333449,0.0,0.00352450682373338,0.002344575304450886,0.0,0.0008206013565578101,0.016580608336276927,1.56e-05,0.004141252084069231,0.001046526569344394,0.0,-0.00010465265693443941,3.900000000001125e-06
42,18013,Brown County,IN,1,77,1,78,3,0.0,0.007061728175136862,,0.0,0.0,0.0,0.0,0.0,0,10681,10.3,0.0,0.436,0.007061728175136862,,4.98680048195218e-05,,short_T_only,,0.00868066929168975,0.0,0.0034722677166759003,0.0018198381765323437,0.0,0.0006369433617863203,0.013021342177981326,0.0,0.0032553355444953315,0.0030281844782069013,0.0,-0.00030281844782069014,0.0
42,18013,Brown County,IN,1,78,1,79,3,0.0,0.007264594106644298,,0.0,0.0,3.12e-05,0.0,0.0,0,10680,12.8,0.0,0.436,0.007264594106644298,,5.2774327534291064e-05,,short_T_only,,0.008483248062028362,0.0,0.003393299224811345,0.00166146920576565,3.12e-05,0.0005705942220179775,0.014420111866452583,0.0,0.0036050279666131457,0.003152473067981708,0.0,-0.00031524730679817085,1.09200000000002e-05
42,18013,Brown County,IN,1,79,1,80,3,0.0001,0.007649799235630359,,0.0001,9.36e-05,3.12e-05,1.56e-05,0.0,1,10680,11.1,0.0,0.435,0.007549799235630358,,5.6999468498324744e-05,,short_T_only,,0.009082959904632253,9.36e-05,0.0035957439618529013,0.0015010947178380849,3.12e-05,0.0005144631512433297,0.015238172067560257,1.56e-05,0.0038056430168900645,0.0031831089435593596,0.0,-0.00031831089435593597,-4.7740000000001843e-05
42,18013,Brown County,IN,1,80,1,81,3,0.0001,0.005504231738064696,,0.0001,9.36e-05,6.24e-05,3.12e-05,0.0,1,10680,8.6,0.0,0.436,0.005404231738064696,,2.9205720678705764e-05,,short_T_only,,0.005486131120347913,9.36e-05,0.0021570124481391654,0.0016863937367734218,6.24e-05,0.0005683978078706976,0.012244917193477575,3.12e-05,0.0030534292983693937,0.003416878163145608,0.0,-0.00034168781631456084,-3.292000000000052e-05
42,18013,Brown County,IN,1,81,1,82,3,0.0001,0.004048769310216283,,0.0001,0.000187266,3.12e-05,6.24e-05,3.12e-05,2,10680,8.8,0.0,0.436,0.003948769310216283,,1.5592779065305976e-05,,short_T_only,,0.004782927735540203,0.000187266,0.0018382646942160811,0.0014168705113719112,3.12e-05,0.0004849846789801689,0.008100466758226385,6.24e-05,0.002009516689556596,0.003854231525365637,3.12e-05,-0.00038230315253656375,-1.6935999999998647e-06
42,18013,Brown County,IN,1,82,1,83,3,0.0001,0.00389435184741433,,0.0001,9.36e-05,3.12e-05,7.8e-05,6.24e-05,1,10680,9.0,0.0,0.436,0.00379435184741433,,1.439710594197654e-05,,short_T_only,,0.004840135555773665,9.36e-05,0.0018986142223094658,0.0004508537852112894,3.12e-05,0.00014687882482395127,0.008402029643713171,7.8e-05,0.002081007410928293,0.0030000861064737963,6.24e-05,-0.00029376861064737964,-3.8380000000000185e-05
42,18013,Brown County,IN,1,83,1,84,3,0.0,0.003809238422115713,,0.0,0.0,0.0,7.8e-05,6.24e-05,0,10680,10.5,0.0,0.436,0.003809238422115713,,1.4510297356522607e-05,,short_T_only,,0.004496464453911983,0.0,0.0017985857815647933,0.00047819209575685124,0.0,0.00016736723351489793,0.008707526008034667,7.8e-05,0.0021573815020086667,0.0033359609497264514,6.24e-05,-0.00032735609497264515,1.3260000000000615e-05
42,18013,Brown County,IN,1,84,1,85,3,0.0,0.0022956854371223145,,0.0,0.0,0.0,7.8e-05,3.12e-05,0,10680,9.2,0.0,0.435,0.0022956854371223145,,5.270171626215472e-06,,short_T_only,,0.0010914021549024069,0.0,0.0004365608619609628,0.00011069998690686196,0.0,3.8744995417401684e-05,0.008965551703992655,7.8e-05,0.0022218879259981636,0.004210083462542138,3.12e-05,-0.0004178883462542138,1.6379999999999867e-05
42,18013,Brown County,IN,1,85,1,86,3,0.0,0.0023359311167164562,,0.0,0.0,0.0,6.24e-05,0.0,0,10680,7.4,0.0,0.434,0.0023359311167164562,,5.456574182044191e-06,,short_T_only,,0.0010322682131121959,0.0,0.0004129072852448784,0.00011871210472211631,0.0,4.154923665274071e-05,0.009073252064209244,6.24e-05,0.002252713016052311,0.0038683842123347365,0.0,-0.0003868384212334737,1.5600000000000162e-05
42,18013,Brown County,IN,1,86,1,87,3,0.0,0.0014341123534557213,,0.0,0.0,0.0,4.68e-05,0.0,0,10680,12.4,0.0,0.434,0.0014341123534557213,,2.0566782423343076e-06,,short_T_only,,3.5264667414129964e-05,0.0,1.4105866965651987e-05,2.3141109755206077e-05,0.0,8.099388414322127e-06,0.007161516413577202,4.68e-05,0.0017786791033943005,0.0037847200531855333,0.0,-0.00037847200531855335,1.1699999999999905e-05
42,18013,Brown County,IN,1,87,1,88,3,0.0,0.0017906046431260991,,0.0,0.0,0.0,1.56e-05,0.0,0,10680,13.0,0.0,0.433,0.0017906046431260991,,3.2062649879847447e-06,,short_T_only,,4.174153379378617e-05,0.0,1.669661351751447e-05,8.1436500246773e-05,0.0,2.8502775086370546e-05,0.008592873278193162,1.56e-05,0.0021443183195482907,0.0040281306502607615,0.0,-0.0004028130650260762,3.899999999999824e-06
