cv_seed,horizon,target_day,fipsCode,osi_peak,osi_mean,P_peak,P_mean,N_peak,R_mean,D_mean,P_hours_gt05,T_rmse,S_rmse
42,1,3,18009,0.0675,0.029430434782608695,0.100935726,0.04134267713043478,0.001891906,0.005012968956521738,0.053116633,7,0.013052675509806912,
42,1,3,18013,0.0079,0.0003652173913043478,0.000187266,2.0350695652173913e-05,6.24e-05,1.2208695652173912e-05,0.0014179256521739132,0,0.004196609332957969,
42,1,3,18023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0006738907694022323,
42,1,3,18025,0.0002,6.521739130434783e-05,0.000256805,9.490621739130433e-05,8.56e-05,0.0,9.211482608695652e-05,0,0.00010425720702853738,
42,1,3,18027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
42,1,3,18029,0.0001,1.3043478260869566e-05,9.68e-05,2.1043478260869562e-05,3.23e-05,7.004347826086957e-06,2.2440000000000002e-05,0,3.6115755925730766e-05,
42,1,3,18033,0.0018,0.0009304347826086956,0.002241186,0.0012778108695652175,0.000430997,0.0002098443478260869,0.001636839695652174,0,0.0011204694070897346,
42,1,3,18035,0.0151,0.006943478260869566,0.01997816,0.009542968434782608,0.000835407,0.0012649301304347826,0.012829651043478262,0,0.001699765034879814,
42,1,3,18037,0.0001,4.347826086956522e-06,0.000167406,7.278521739130435e-06,5.58e-05,7.278260869565217e-06,7.278260869565217e-06,0,2.0851441405707478e-05,
42,1,3,18039,0.0045,0.002395652173913043,0.006079775,0.003431946913043479,9.33e-05,0.0002604043913043478,0.004190064956521739,0,0.0011085254923141673,
42,1,3,18041,0.0005,3.0434782608695656e-05,0.000940412,4.460486956521739e-05,0.000313471,4.212665217391305e-05,4.832665217391305e-05,0,0.0006083752509344736,
42,1,3,18043,0.0007,8.695652173913044e-05,0.001282191,0.00010675043478260869,0.000427397,5.57474347826087e-05,0.00011386882608695652,0,0.00021264381322847798,
42,1,3,18045,0.0001,4.347826086956522e-06,0.0,0.0,0.0,0.0,1.2485130434782607e-05,0,2.0851441405707478e-05,
42,1,3,18047,0.0007,4.782608695652174e-05,0.000171468,2.2362434782608696e-05,5.72e-05,1.492173913043478e-05,0.00015968013043478265,0,0.00038588447126957325,
42,1,3,18051,0.0001,4.347826086956522e-06,0.000104042,9.045304347826086e-06,3.47e-05,6.778260869565217e-06,8.666086956521739e-06,0,2.0851441405707478e-05,
42,1,3,18059,0.0004,6.521739130434783e-05,0.000513452,7.887991304347825e-05,4.56e-05,2.8270130434782606e-05,0.00013740665217391306,0,0.00013021720984236467,
42,1,3,18061,0.0003,3.0434782608695646e-05,0.000518281,4.506791304347826e-05,0.00017276,2.253391304347826e-05,2.6290434782608697e-05,0,9.088932591463857e-05,
42,1,3,18065,0.0001,1.3043478260869566e-05,9.7e-05,2.1086956521739132e-05,3.23e-05,6.330434782608696e-06,2.7420434782608698e-05,0,0.0007132969214477845,
42,1,3,18067,0.002,0.0003956521739130435,0.003571349,0.0005249739130434783,0.001123487,0.0001743338695652174,0.000513349956521739,0,0.0007256181772326509,
42,1,3,18069,0.0044,0.002656521739130434,0.006099886,0.0038789821304347815,0.000526478,0.00020840869565217398,0.004370705608695652,0,0.0012240360100349195,
42,1,3,18071,0.0002,1.739130434782609e-05,0.000328695,2.6992391304347826e-05,0.000109565,2.0643260869565223e-05,2.6199999999999996e-05,0,5.107539184552492e-05,
42,1,3,18073,0.0032,0.0021000000000000007,0.004317375,0.003032590826086958,3.2e-05,0.0001821560434782609,0.0036299117391304344,0,0.0007806640415517136,
42,1,3,18077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
42,1,3,18083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
42,1,3,18085,0.0077,0.0036,0.010281675,0.00498251447826087,0.000571204,0.0006136306086956523,0.006547634739130433,0,0.002830388244267514,
42,1,3,18087,0.0033,0.001973913043478261,0.005509972,0.0029789262608695653,0.001337566,0.00024911613043478257,0.002888221782608695,0,0.0034316389565153963,
42,1,3,18089,0.0174,0.007795652173913044,0.02704809,0.011147082217391304,0.000812086,0.001119123695652174,0.013681659347826088,0,0.003822661877175388,
42,1,3,18091,0.002,0.0008565217391304349,0.002052545,0.0011210949999999997,0.000136836,0.00018146078260869564,0.0016517038695652174,0,0.000519508045917323,
42,1,3,18093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
42,1,3,18095,0.003,0.0020217391304347826,0.004574786,0.0028391005217391304,0.00044946,0.00032081526086956527,0.003500251217391305,0,0.0008025824221133014,
42,1,3,18097,0.0009,0.00037826086956521747,0.001261998,0.0005242049130434783,7.63e-05,7.746747826086957e-05,0.0006810510869565219,0,0.0004180986638156696,
42,1,3,18099,0.0035,0.0012869565217391303,0.005732344,0.0017382485652173906,0.00061243,0.00032379434782608697,0.0023139309999999995,0,0.0006708232770729526,
42,1,3,18101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0022501343510955675,
42,1,3,18103,0.0088,0.0012391304347826087,0.00581095,0.0010498960869565217,4.3e-05,0.000271367347826087,0.0033852713913043483,0,0.0010717225327333772,
42,1,3,18105,0.0,0.0,1.31e-05,2.2782608695652176e-06,4.36e-06,1.137391304347826e-06,3.5982608695652168e-06,0,0.0,
42,1,3,18107,0.0006,5.652173913043478e-05,0.001218472,9.535860869565218e-05,0.000406157,4.590930434782608e-05,6.444960869565217e-05,0,0.00013987572123604704,
42,1,3,18109,0.0,0.0,0.0,0.0,0.0,4.4782608695652175e-07,3.561739130434783e-06,0,0.0,
42,1,3,18111,0.0092,0.0041869565217391306,0.008683068,0.005458378130434782,0.000844187,0.0009700287826086958,0.008156106434782606,0,0.003946394531152752,
42,1,3,18113,0.0032,0.0025130434782608697,0.004851229,0.003775786000000002,7.19e-05,0.00011094373913043479,0.004008517,0,0.0014636452516359653,
42,1,3,18117,0.0001,1.3043478260869566e-05,0.000224014,1.9479478260869565e-05,7.47e-05,1.4604347826086956e-05,1.9486956521739134e-05,0,3.6115755925730766e-05,
42,1,3,18121,0.0063,0.0008217391304347826,0.001734027,0.00025517765217391306,8.89e-05,0.0006920660434782609,0.00315971195652174,0,0.004923756419833595,
42,1,3,18123,0.0002,1.739130434782609e-05,0.00040568,3.5276521739130434e-05,0.000135227,1.7638304347826085e-05,3.5275434782608696e-05,0,0.0002826561765137963,
42,1,3,18125,0.0013,9.565217391304347e-05,0.002437373,0.00010597273913043479,0.000812458,0.00010597278260869566,0.00010597278260869566,0,0.0002874172848876245,
42,1,3,18127,0.0206,0.006660869565217392,0.027265537,0.008921280434782608,0.000196452,0.0012533390869565216,0.012851566260869562,0,0.0030934628100263346,
42,1,3,18129,0.0002,1.739130434782609e-05,0.000333622,2.9010608695652173e-05,0.000111207,1.4505260869565217e-05,2.901021739130435e-05,0,0.0002213301000883542,
42,1,3,18131,0.0056,0.00037826086956521736,0.000244499,2.1260782608695652e-05,8.15e-05,2.126082608695652e-05,0.0015006513043478264,0,0.00011168858133188205,
42,1,3,18133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,
42,1,3,18135,0.0231,0.006786956521739131,0.035752622,0.00920471147826087,8.26e-05,0.0015772,0.01302226656521739,0,0.007123391069448033,
42,1,3,18137,0.0,0.0,0.0,0.0,0.0,0.0,4.739130434782609e-07,0,0.0,
42,1,3,18139,0.0,0.0,0.0,0.0,0.0,1.5130434782608695e-06,3.026086956521739e-06,0,0.0,
42,1,3,18141,0.0115,0.003556521739130436,0.016299931,0.004791546304347826,0.000260676,0.0007415932608695653,0.006769041695652175,0,0.0023442838712591906,
42,1,3,18143,0.0002,2.608695652173913e-05,0.000364764,3.964826086956521e-05,0.000121588,7.930434782608694e-06,3.039691304347826e-05,0,5.897678246195885e-05,
42,1,3,18145,0.0004,6.956521739130436e-05,0.000682419,9.271665217391303e-05,0.000227473,3.1515e-05,9.734921739130436e-05,0,0.0001414213562373095,
42,1,3,18147,0.0,0.0,0.0,0.0,0.0,0.0,1.2434782608695652e-05,0,0.0,
