fipsCode,horizon,target_day,selection
42053,1,3,seed42_largest_T_SSE_fixed_day_for_display_only
54015,24,6,seed42_largest_T_SSE_fixed_day_for_display_only
54013,24,6,seed42_largest_T_SSE_fixed_day_for_display_only
39115,24,7,seed42_largest_T_SSE_fixed_day_for_display_only
18013,24,4,seed42_largest_T_SSE_fixed_day_for_display_only
39119,24,4,seed42_largest_T_SSE_fixed_day_for_display_only
54007,48,6,seed42_largest_T_SSE_fixed_day_for_display_only
54041,48,5,seed42_largest_T_SSE_fixed_day_for_display_only
39117,1,3,seed42_largest_T_SSE_fixed_day_for_display_only
42131,6,3,seed42_largest_T_SSE_fixed_day_for_display_only
