fipsCode,countyName,rows,customers_min,customers_max,count_exceeds_customers_rows,max_P_minus_unclipped_count_ratio_abs,max_P_minus_clipped_count_ratio_abs
18013,Brown County,216,10679,10682,0,3.295880149813276e-08,3.295880149813276e-08
39115,Morgan County,216,8636,8649,0,4.951365983885125e-10,4.951365983885125e-10
39117,Morrow County,216,9826,9828,4,0.20924078974150206,4.948096932189117e-10
39119,Muskingum County,216,44876,44917,0,4.6857537235346354e-08,4.6857537235346354e-08
42053,Forest County,216,6859,6866,0,4.98834529238934e-10,4.98834529238934e-10
42131,Wyoming County,216,19228,19229,0,4.784440168497544e-09,4.784440168497544e-09
54007,Braxton County,216,7949,7949,0,4.917599695508645e-10,4.917599695508645e-10
54013,Calhoun County,216,4300,4305,0,4.947735138260967e-10,4.947735138260967e-10
54015,Clay County,216,3865,3867,0,4.966373562398374e-10,4.966373562398374e-10
54041,Lewis County,216,10021,10022,0,1.951706246257638e-08,1.951706246257638e-08
