cv_seed,fipsCode,countyName,stateAbbr,horizon,target_day,date,variant,true_peak,T_peak,S_peak,T_mean,S_mean,true_mean,P_true_mean,P_pred_mean,nearest_percentile,low_loss_controls,high_loss_controls,control_max_peak,control_max_P_mean
42,42053,Forest County,PA,1,3,2026-03-14,context,0.5447,0.10204416385264245,,0.06368629517677257,,0.2354739130434782,0.34292971521739135,0.0938904573821745,100.0,0,3,0.1714,0.09759010217391306
42,42053,Forest County,PA,1,3,2026-03-14,source_cache_rank,0.5447,0.10204416385264245,,0.06368629517677257,,0.2354739130434782,0.34292971521739135,0.0938904573821745,97.38219895287958,0,3,0.1714,0.09759010217391306
20260917,42053,Forest County,PA,1,3,2026-03-14,context,0.5447,0.09412246025624489,,0.06168693337596069,,0.2354739130434782,0.34292971521739135,0.09832374583612481,100.0,0,3,0.1714,0.09759010217391306
20260917,42053,Forest County,PA,1,3,2026-03-14,source_cache_rank,0.5447,0.09412246025624489,,0.06168693337596069,,0.2354739130434782,0.34292971521739135,0.09832374583612481,96.35416666666666,0,2,0.1714,0.09759010217391306
20260918,42053,Forest County,PA,1,3,2026-03-14,context,0.5447,0.09737677988193123,,0.05942612522040367,,0.2354739130434782,0.34292971521739135,0.0888269533741966,100.0,0,3,0.1714,0.09759010217391306
20260918,42053,Forest County,PA,1,3,2026-03-14,source_cache_rank,0.5447,0.09737677988193123,,0.05942612522040367,,0.2354739130434782,0.34292971521739135,0.0888269533741966,97.38219895287958,0,3,0.1714,0.09759010217391306
42,54015,Clay County,WV,24,6,2026-03-17,context,0.1817,0.047349853722907,0.051104652311525306,0.031501000401236295,0.03544582241511754,0.11174583333333332,0.16081436458333334,0.04507897116119736,11.518324607329843,1,2,0.1154,0.09357571183333334
42,54015,Clay County,WV,24,6,2026-03-17,source_cache_rank,0.1817,0.047349853722907,0.051104652311525306,0.031501000401236295,0.03544582241511754,0.11174583333333332,0.16081436458333334,0.04507897116119736,53.92670157068062,1,2,0.1154,0.09357571183333334
20260917,54015,Clay County,WV,24,6,2026-03-17,context,0.1817,0.04518115757992826,0.04181581906328089,0.030577490982721237,0.028003116611932794,0.11174583333333332,0.16081436458333334,0.04404022919627345,13.612565445026178,2,2,0.1154,0.09357571183333334
20260917,54015,Clay County,WV,24,6,2026-03-17,source_cache_rank,0.1817,0.04518115757992826,0.04181581906328089,0.030577490982721237,0.028003116611932794,0.11174583333333332,0.16081436458333334,0.04404022919627345,56.02094240837696,2,2,0.1154,0.09357571183333334
20260918,54015,Clay County,WV,24,6,2026-03-17,context,0.1817,0.0828670143983942,0.08447122607357357,0.06890750732792844,0.06835493315812885,0.11174583333333332,0.16081436458333334,0.1045280475213453,12.56544502617801,1,3,0.1752,0.16915408429166667
20260918,54015,Clay County,WV,24,6,2026-03-17,source_cache_rank,0.1817,0.0828670143983942,0.08447122607357357,0.06890750732792844,0.06835493315812885,0.11174583333333332,0.16081436458333334,0.1045280475213453,53.403141361256544,1,3,0.1752,0.16915408429166667
42,54013,Calhoun County,WV,24,6,2026-03-17,context,0.1752,0.05473587626305004,0.05352968888558602,0.037816368795768766,0.037953475693808816,0.11581666666666668,0.16915408429166667,0.054765756229710826,39.26701570680628,0,4,0.1154,0.09357571183333334
42,54013,Calhoun County,WV,24,6,2026-03-17,source_cache_rank,0.1752,0.05473587626305004,0.05352968888558602,0.037816368795768766,0.037953475693808816,0.11581666666666668,0.16915408429166667,0.054765756229710826,11.518324607329843,0,3,0.1154,0.09357571183333334
20260917,54013,Calhoun County,WV,24,6,2026-03-17,context,0.1752,0.05072849787680918,0.05092019271729429,0.034867437293133845,0.035825515390781305,0.11581666666666668,0.16915408429166667,0.052196533039464456,29.84293193717277,1,4,0.1154,0.09357571183333334
20260917,54013,Calhoun County,WV,24,6,2026-03-17,source_cache_rank,0.1752,0.05072849787680918,0.05092019271729429,0.034867437293133845,0.035825515390781305,0.11581666666666668,0.16915408429166667,0.052196533039464456,10.471204188481675,1,3,0.1154,0.09357571183333334
20260918,54013,Calhoun County,WV,24,6,2026-03-17,context,0.1752,0.1033429567464659,0.10105022506265157,0.07978004988061145,0.07702689110143708,0.11581666666666668,0.16915408429166667,0.12017847112708153,31.413612565445025,1,4,0.1154,0.09357571183333334
20260918,54013,Calhoun County,WV,24,6,2026-03-17,source_cache_rank,0.1752,0.1033429567464659,0.10105022506265157,0.07978004988061145,0.07702689110143708,0.11581666666666668,0.16915408429166667,0.12017847112708153,8.37696335078534,1,3,0.1154,0.09357571183333334
42,39115,Morgan County,OH,24,7,2026-03-18,context,0.3277,0.0,0.0,0.0,0.0,0.030245833333333333,0.03670680425,0.0006183474281951524,76.96335078534031,5,0,0.0035,0.0013113483333333335
42,39115,Morgan County,OH,24,7,2026-03-18,source_cache_rank,0.3277,0.0,0.0,0.0,0.0,0.030245833333333333,0.03670680425,0.0006183474281951524,70.15706806282722,5,0,0.0099,0.001422764125
20260917,39115,Morgan County,OH,24,7,2026-03-18,context,0.3277,0.0,0.0,0.0,0.0,0.030245833333333333,0.03670680425,0.0010368787687011708,77.4869109947644,5,0,0.0035,0.0013113483333333335
20260917,39115,Morgan County,OH,24,7,2026-03-18,source_cache_rank,0.3277,0.0,0.0,0.0,0.0,0.030245833333333333,0.03670680425,0.0010368787687011708,76.96335078534031,5,0,0.0099,0.0013113483333333335
20260918,39115,Morgan County,OH,24,7,2026-03-18,context,0.3277,0.0011367702326766647,0.0,0.00013467799203655884,0.0,0.030245833333333333,0.03670680425,0.00045675849728978035,79.05759162303664,5,0,0.0035,0.0013113483333333335
20260918,39115,Morgan County,OH,24,7,2026-03-18,source_cache_rank,0.3277,0.0011367702326766647,0.0,0.00013467799203655884,0.0,0.030245833333333333,0.03670680425,0.00045675849728978035,74.86910994764398,5,0,0.0029,0.001422764125
42,18013,Brown County,IN,24,4,2026-03-15,context,0.1379,0.019922979789764875,0.012349928747814256,0.007301845188242305,0.004614304260035086,0.0486625,0.07171395579166667,0.012376794876666776,97.39583333333334,3,0,0.0366,0.014035391083333333
42,18013,Brown County,IN,24,4,2026-03-15,source_cache_rank,0.1379,0.019922979789764875,0.012349928747814256,0.007301845188242305,0.004614304260035086,0.0486625,0.07171395579166667,0.012376794876666776,100.0,2,0,0.0366,0.014035391083333333
20260917,18013,Brown County,IN,24,4,2026-03-15,context,0.1379,0.02718856668727157,0.023203309606836586,0.009607089650114942,0.007539794992050726,0.0486625,0.07171395579166667,0.01569803466957083,98.42931937172776,3,1,0.1293,0.06989659770833333
20260917,18013,Brown County,IN,24,4,2026-03-15,source_cache_rank,0.1379,0.02718856668727157,0.023203309606836586,0.009607089650114942,0.007539794992050726,0.0486625,0.07171395579166667,0.01569803466957083,100.0,1,1,0.1505,0.016087784500000004
20260918,18013,Brown County,IN,24,4,2026-03-15,context,0.1379,0.01952898941966163,0.01460823069964933,0.007215031474029649,0.005396209522772012,0.0486625,0.07171395579166667,0.01231566676566762,98.42931937172776,3,0,0.0366,0.014035391083333333
20260918,18013,Brown County,IN,24,4,2026-03-15,source_cache_rank,0.1379,0.01952898941966163,0.01460823069964933,0.007215031474029649,0.005396209522772012,0.0486625,0.07171395579166667,0.01231566676566762,100.0,2,0,0.0366,0.014035391083333333
42,39119,Muskingum County,OH,24,4,2026-03-15,context,0.0411,0.09985264030073628,0.10194186481965857,0.07753036969969336,0.07968169582574401,0.024829166666666663,0.03597437879166667,0.11369129247478794,59.375,0,5,0.1423,0.155908214375
42,39119,Muskingum County,OH,24,4,2026-03-15,source_cache_rank,0.0411,0.09985264030073628,0.10194186481965857,0.07753036969969336,0.07968169582574401,0.024829166666666663,0.03597437879166667,0.11369129247478794,42.70833333333333,1,4,0.1423,0.155908214375
20260917,39119,Muskingum County,OH,24,4,2026-03-15,context,0.0411,0.03967286643966769,0.03331721459307602,0.023350392760504768,0.024276995478227693,0.024829166666666663,0.03597437879166667,0.0362997346085504,63.020833333333336,1,4,0.1423,0.155908214375
20260917,39119,Muskingum County,OH,24,4,2026-03-15,source_cache_rank,0.0411,0.03967286643966769,0.03331721459307602,0.023350392760504768,0.024276995478227693,0.024829166666666663,0.03597437879166667,0.0362997346085504,38.54166666666667,1,3,0.1423,0.155908214375
20260918,39119,Muskingum County,OH,24,4,2026-03-15,context,0.0411,0.09951870032540505,0.10252703370379715,0.07695873902730965,0.08051721012671721,0.024829166666666663,0.03597437879166667,0.11410904589610538,52.604166666666664,0,5,0.1398,0.15121826516666667
20260918,39119,Muskingum County,OH,24,4,2026-03-15,source_cache_rank,0.0411,0.09951870032540505,0.10252703370379715,0.07695873902730965,0.08051721012671721,0.024829166666666663,0.03597437879166667,0.11410904589610538,43.75,1,3,0.1423,0.155908214375
42,54007,Braxton County,WV,48,6,2026-03-17,context,0.1154,0.026164466575288096,0.026164466575288096,0.014750096125340159,0.015355773641432669,0.06405,0.09357571183333334,0.02319252778185733,33.50785340314136,1,2,0.1752,0.16915408429166667
42,54007,Braxton County,WV,48,6,2026-03-17,source_cache_rank,0.1154,0.026164466575288096,0.026164466575288096,0.014750096125340159,0.015355773641432669,0.06405,0.09357571183333334,0.02319252778185733,38.21989528795812,0,4,0.1817,0.16915408429166667
20260917,54007,Braxton County,WV,48,6,2026-03-17,context,0.1154,0.015545765294252391,0.015545765294252391,0.009874403404833856,0.01035450360308854,0.06405,0.09357571183333334,0.013953202352030979,39.79057591623037,1,1,0.1752,0.16915408429166667
20260917,54007,Braxton County,WV,48,6,2026-03-17,source_cache_rank,0.1154,0.015545765294252391,0.015545765294252391,0.009874403404833856,0.01035450360308854,0.06405,0.09357571183333334,0.013953202352030979,76.96335078534031,1,3,0.1817,0.16915408429166667
20260918,54007,Braxton County,WV,48,6,2026-03-17,context,0.1154,0.037037938542668396,0.037037938542668396,0.01641367133906688,0.019260170899670206,0.06405,0.09357571183333334,0.020307941148690528,36.97916666666667,0,3,0.1752,0.16915408429166667
20260918,54007,Braxton County,WV,48,6,2026-03-17,source_cache_rank,0.1154,0.037037938542668396,0.037037938542668396,0.01641367133906688,0.019260170899670206,0.06405,0.09357571183333334,0.020307941148690528,37.5,0,4,0.1817,0.16915408429166667
42,54041,Lewis County,WV,48,5,2026-03-16,context,0.1199,0.02137404330465003,0.02137404330465003,0.006040967098663596,0.005157892422166772,0.016379166666666667,0.022001598875,0.009527088001135428,23.56020942408377,2,1,0.0522,0.012556670125
42,54041,Lewis County,WV,48,5,2026-03-16,source_cache_rank,0.1199,0.02137404330465003,0.02137404330465003,0.006040967098663596,0.005157892422166772,0.016379166666666667,0.022001598875,0.009527088001135428,65.96858638743456,1,1,0.191,0.06334688345833334
