fipsCode,stateAbbr,severity_tier,fold
18009,IN,4,0
18013,IN,4,2
18023,IN,3,4
18025,IN,4,2
18027,IN,0,0
18029,IN,1,3
18033,IN,2,2
18035,IN,3,1
18037,IN,0,1
18039,IN,1,4
18041,IN,3,0
18043,IN,1,0
18045,IN,2,1
18047,IN,2,0
18051,IN,0,2
18059,IN,0,3
18061,IN,2,4
18065,IN,3,2
18067,IN,1,4
18069,IN,3,3
18071,IN,0,3
18073,IN,1,2
18077,IN,2,2
18083,IN,0,4
18085,IN,4,0
18087,IN,0,0
18089,IN,2,0
18091,IN,3,3
18093,IN,3,2
18095,IN,2,4
18097,IN,0,1
18099,IN,4,4
18101,IN,2,4
18103,IN,4,4
18105,IN,2,0
18107,IN,1,3
18109,IN,1,1
18111,IN,4,3
18113,IN,1,3
18117,IN,4,1
18121,IN,4,1
18123,IN,0,4
18125,IN,1,4
18127,IN,4,3
18129,IN,0,2
18131,IN,4,2
18133,IN,1,0
18135,IN,4,4
18137,IN,2,2
18139,IN,2,1
18141,IN,3,2
18143,IN,2,3
18145,IN,3,1
18147,IN,0,2
18149,IN,4,3
18151,IN,4,1
18153,IN,1,0
18155,IN,0,4
18157,IN,0,3
18159,IN,2,1
18161,IN,0,1
18163,IN,0,0
18165,IN,4,0
18167,IN,1,1
18169,IN,3,1
18171,IN,1,1
18173,IN,1,2
18175,IN,3,4
18177,IN,2,3
18179,IN,3,0
18181,IN,3,3
18183,IN,3,4
39017,OH,0,0
39023,OH,2,1
39025,OH,0,3
39027,OH,0,3
39029,OH,3,2
39031,OH,4,4
39033,OH,3,3
39035,OH,3,1
39037,OH,2,3
39039,OH,2,3
39045,OH,2,2
39049,OH,3,0
39051,OH,2,0
39053,OH,0,1
39055,OH,4,4
39059,OH,4,2
39061,OH,0,2
39063,OH,1,1
39065,OH,1,4
39069,OH,1,0
39073,OH,2,0
39075,OH,4,2
39077,OH,3,0
39081,OH,4,3
39085,OH,1,0
39087,OH,0,1
39089,OH,4,3
39091,OH,3,4
39093,OH,2,4
39095,OH,1,4
39097,OH,2,2
39099,OH,0,2
39101,OH,2,0
39103,OH,2,1
39105,OH,0,0
39107,OH,4,0
39109,OH,1,2
39111,OH,3,0
39113,OH,1,2
39115,OH,3,3
39117,OH,4,3
39119,OH,4,1
39121,OH,3,2
39123,OH,0,0
39125,OH,4,1
39127,OH,4,0
39129,OH,0,2
39131,OH,1,3
39133,OH,3,1
39135,OH,1,4
39137,OH,3,3
39139,OH,4,2
39141,OH,0,1
39143,OH,1,3
39145,OH,0,3
39147,OH,1,0
39149,OH,4,1
39151,OH,2,4
39153,OH,2,4
39155,OH,1,3
39157,OH,4,4
39159,OH,3,1
39161,OH,3,4
39163,OH,1,1
39165,OH,0,4
39167,OH,0,4
39169,OH,3,4
39171,OH,2,2
39173,OH,2,1
39175,OH,1,2
42005,PA,4,3
42007,PA,4,1
42009,PA,4,4
42013,PA,1,2
42015,PA,1,2
42019,PA,4,3
42021,PA,3,0
42023,PA,3,3
42025,PA,1,3
42027,PA,1,3
42029,PA,3,2
42031,PA,4,2
42033,PA,4,4
42035,PA,1,1
42039,PA,3,3
42041,PA,1,4
42043,PA,0,2
42045,PA,0,3
42047,PA,3,4
42049,PA,3,4
42051,PA,2,1
42053,PA,4,0
42055,PA,0,0
42057,PA,1,1
42059,PA,3,1
42061,PA,1,0
42063,PA,4,0
42065,PA,3,2
42067,PA,0,1
42069,PA,0,3
42075,PA,2,4
42077,PA,2,2
42079,PA,0,0
42081,PA,0,2
42083,PA,2,3
42085,PA,3,0
42089,PA,2,0
42091,PA,1,4
42095,PA,2,1
42097,PA,0,1
42101,PA,0,4
42103,PA,2,2
42109,PA,2,4
42113,PA,1,0
42115,PA,2,3
42119,PA,0,3
42121,PA,4,1
42125,PA,4,2
42127,PA,2,0
42129,PA,4,0
42131,PA,3,1
42133,PA,0,4
54007,WV,4,4
54009,WV,4,3
54013,WV,4,2
54015,WV,4,4
54019,WV,2,4
54023,WV,2,2
54025,WV,0,1
54027,WV,0,2
54029,WV,4,0
54031,WV,1,3
54033,WV,1,1
54035,WV,3,4
54037,WV,1,4
54039,WV,2,3
54041,WV,3,1
54043,WV,3,0
54045,WV,2,1
54047,WV,3,2
54053,WV,0,0
54055,WV,1,3
54057,WV,0,3
54059,WV,3,3
54063,WV,0,4
54067,WV,2,4
54069,WV,4,2
54071,WV,2,0
54073,WV,3,3
54075,WV,0,0
54077,WV,1,0
54079,WV,0,4
54081,WV,0,1
54083,WV,2,3
54085,WV,4,1
54087,WV,4,3
54089,WV,1,2
54091,WV,4,1
54093,WV,1,2
54095,WV,3,4
54097,WV,1,0
54099,WV,3,0
54101,WV,2,1
54103,WV,3,2
54105,WV,2,2
54107,WV,0,2
54109,WV,1,1
