split_seed,fipsCode,horizon,target_hour,feature,query_value,donor_mean,donor_std,donor_min,donor_max,outside_support
20260917,18013,1,73,last_P_t,0.000187248,0.044982991738219916,0.09639447402807791,0.0,0.824241807,False
20260917,18013,1,73,last_N_t,0.0,0.0012568957434554975,0.005700715806379328,0.0,0.065400654,False
20260917,18013,1,73,last_R_t,0.000187248,0.003207135984293192,0.007131531357487119,0.0,0.058582059,False
20260917,18013,1,73,N_t_mean_72h,0.004413243763888889,0.0017671187857038976,0.002292015438098635,3.1208333333333337e-06,0.018623942125,False
20260917,18013,1,73,N_t_max_72h,0.076803046,0.029102750424083796,0.04320598043270303,7.49e-05,0.379164122,False
20260917,18013,1,73,gust_at_t1h,8.9,22.529319371727752,10.962791856817656,1.2,44.3,False
20260917,18013,1,73,log_customers,9.276315360899716,10.13576856519639,1.1232087872410141,7.1180162044653335,13.453719692845613,False
20260917,18013,1,73,pct_forest,83.22,40.75748691099478,28.678266977377568,0.97,88.72,False
20260917,18013,1,74,last_P_t,0.000187248,0.044982991738219916,0.09639447402807791,0.0,0.824241807,False
20260917,18013,1,74,last_N_t,0.0,0.0012568957434554975,0.005700715806379328,0.0,0.065400654,False
20260917,18013,1,74,last_R_t,0.000187248,0.003207135984293192,0.007131531357487119,0.0,0.058582059,False
20260917,18013,1,74,N_t_mean_72h,0.004413243763888889,0.0017671187857038976,0.002292015438098635,3.1208333333333337e-06,0.018623942125,False
20260917,18013,1,74,N_t_max_72h,0.076803046,0.029102750424083796,0.04320598043270303,7.49e-05,0.379164122,False
20260917,18013,1,74,gust_at_t1h,9.7,22.148167539266996,10.013361978279638,0.6,46.6,False
20260917,18013,1,74,log_customers,9.276315360899716,10.135770476043664,1.1232064994419242,7.1180162044653335,13.453719692845613,False
20260917,18013,1,74,pct_forest,83.22,40.75748691099478,28.678266977377568,0.97,88.72,False
20260917,18013,1,75,last_P_t,0.000187248,0.044982991738219916,0.09639447402807791,0.0,0.824241807,False
20260917,18013,1,75,last_N_t,0.0,0.0012568957434554975,0.005700715806379328,0.0,0.065400654,False
20260917,18013,1,75,last_R_t,0.000187248,0.003207135984293192,0.007131531357487119,0.0,0.058582059,False
20260917,18013,1,75,N_t_mean_72h,0.004413243763888889,0.0017671187857038976,0.002292015438098635,3.1208333333333337e-06,0.018623942125,False
20260917,18013,1,75,N_t_max_72h,0.076803046,0.029102750424083796,0.04320598043270303,7.49e-05,0.379164122,False
20260917,18013,1,75,gust_at_t1h,6.7,21.49005235602094,9.43105350182719,2.4,43.2,False
20260917,18013,1,75,log_customers,9.276315360899716,10.135770476043664,1.1232064994419242,7.1180162044653335,13.453719692845613,False
20260917,18013,1,75,pct_forest,83.22,40.75748691099478,28.678266977377568,0.97,88.72,False
20260917,18013,1,76,last_P_t,0.000187248,0.044982991738219916,0.09639447402807791,0.0,0.824241807,False
20260917,18013,1,76,last_N_t,0.0,0.0012568957434554975,0.005700715806379328,0.0,0.065400654,False
20260917,18013,1,76,last_R_t,0.000187248,0.003207135984293192,0.007131531357487119,0.0,0.058582059,False
20260917,18013,1,76,N_t_mean_72h,0.004413243763888889,0.0017671187857038976,0.002292015438098635,3.1208333333333337e-06,0.018623942125,False
20260917,18013,1,76,N_t_max_72h,0.076803046,0.029102750424083796,0.04320598043270303,7.49e-05,0.379164122,False
20260917,18013,1,76,gust_at_t1h,7.2,20.691099476439796,9.192944844651578,3.2,42.6,False
20260917,18013,1,76,log_customers,9.276315360899716,10.135770476043664,1.1232064994419242,7.1180162044653335,13.453719692845613,False
20260917,18013,1,76,pct_forest,83.22,40.75748691099478,28.678266977377568,0.97,88.72,False
20260917,18013,1,77,last_P_t,0.000187248,0.044982991738219916,0.09639447402807791,0.0,0.824241807,False
